C:\Cambridge\Election2009\Council\Tuesday\Council Tabular Report (Delimited)
November 3, 2009 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Preliminary Results (Election Night)

12,471 valid ballots.
Electing 9 candidates.
Quota is 1248 votes.
There were no invalid ballots.
(12,471 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|
Simmons, E. Denise|1441.0000000000|1441.0000000000|1441.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|ELECTED -- 1st count
Stohlman, Jr., Thomas J.|341.0000000000|345.0000000000|357.0000000000|363.0000000000|365.0000000000|371.0000000000|374.0000000000|375.0000000000|379.0000000000|389.0000000000|400.0000000000|0|0|0|0|DEFEATED -- 11th count
Sullivan, Edward J.|791.0000000000|897.0000000000|899.0000000000|907.0000000000|911.0000000000|913.0000000000|914.0000000000|915.0000000000|923.0000000000|929.0000000000|936.0000000000|969.0000000000|1055.0000000000|1103.0000000000|1215.0000000000|ELECTED -- 15th count
Toomey, Jr., Timothy J.|1587.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|1248.0000000000|ELECTED -- 1st count
vanBeuzekom, Minka Y.|572.0000000000|577.0000000000|596.0000000000|607.0000000000|609.0000000000|615.0000000000|620.0000000000|628.0000000000|636.0000000000|643.0000000000|683.0000000000|730.0000000000|776.0000000000|0|0|DEFEATED -- 13th count
Ward, Larry W.|609.0000000000|629.0000000000|649.0000000000|674.0000000000|676.0000000000|679.0000000000|690.0000000000|702.0000000000|707.0000000000|713.0000000000|730.0000000000|767.0000000000|791.0000000000|898.0000000000|0|DEFEATED -- 14th count
Williamson, James M.|82.0000000000|83.0000000000|83.0000000000|84.0000000000|84.0000000000|86.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
Write-In 1|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 2|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 3|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 4|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 5|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 6|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 7|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 8|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 9|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count



Tuesday, November 3, 2009 10:15 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
