D:\2001 Election\council\prelim\Pre-Council Tabular Report (Delimited)
NOV. 6, 2001 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA
PRELIMINARY DATA
<font size=-1><a href="http://www.ci.cambridge.ma.us">Back to Cambridge Home Page</a></font>

16,696 valid ballots.
Electing 9 candidates.
Quota is 1670 votes.
There were 359 invalid ballots.
(17,055 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|
Write-In 4|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 5|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 6|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 7|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 8|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 9|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count



Wednesday, November 7, 2001 2:20 PM
ChoicePlus Pro -- Version 2.1
(c) 1993-2001 Voting Solutions -- All Rights Reserved
