D:\2001 Election\council\Council Tabular Report (Delimited)
NOV. 6, 2001 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA

17,126 valid ballots.
Electing 9 candidates.
Quota is 1713 votes.
There were 562 invalid ballots.
(17,688 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|
Maher, David P.|1017.0000000000|1396.0000000000|1396.0000000000|1396.0000000000|1398.0000000000|1403.0000000000|1411.0000000000|1416.0000000000|1422.0000000000|1447.0000000000|1517.0000000000|1533.0000000000|1623.0000000000|1713.0000000000|ELECTED -- 14th count
Murphy, Brian|1716.0000000000|1716.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 1st count
Peixoto, Helder|69.0000000000|90.0000000000|90.0000000000|90.0000000000|91.0000000000|95.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
Pitkin, John|1091.0000000000|1139.0000000000|1139.0000000000|1140.0000000000|1146.0000000000|1147.0000000000|1152.0000000000|1168.0000000000|1192.0000000000|1203.0000000000|1228.0000000000|1316.0000000000|1476.0000000000|0|DEFEATED -- 13th count
Reeves, Kenneth E.|1141.0000000000|1304.0000000000|1305.0000000000|1309.0000000000|1312.0000000000|1314.0000000000|1326.0000000000|1332.0000000000|1341.0000000000|1360.0000000000|1384.0000000000|1415.0000000000|1535.0000000000|1713.0000000000|ELECTED -- 14th count
Simmons, Denise|1339.0000000000|1424.0000000000|1424.0000000000|1424.0000000000|1431.0000000000|1436.0000000000|1441.0000000000|1448.0000000000|1468.0000000000|1535.0000000000|1553.0000000000|1693.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 13th count
Sullivan, Michael A.|1315.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 2nd count
Toomey, Timothy J., Jr.|1402.0000000000|1587.0000000000|1587.0000000000|1588.0000000000|1590.0000000000|1592.0000000000|1609.0000000000|1616.0000000000|1620.0000000000|1628.0000000000|1665.0000000000|1685.0000000000|1713.0000000000|1713.0000000000|ELECTED -- 13th count
Williamson, James M.|58.0000000000|62.0000000000|62.0000000000|62.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 1|29.0000000000|29.0000000000|29.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-In 2|1.0000000000|1.0000000000|1.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-In 3|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-In 4|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-In 5|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-In 6|1.0000000000|1.0000000000|1.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-In 7|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-In 8|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-In 9|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count



Wednesday, November 7, 2001 5:06 PM
ChoicePlus Pro -- Version 2.1
(c) 1993-2001 Voting Solutions -- All Rights Reserved
