,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Did Not Rank
"Moree, Gregg J.",0.21,0.48,0.80,1.10,1.46,1.74,1.99,2.35,2.63,2.85,3.12,3.40,3.63,3.90,4.08,4.28,4.49,4.71,4.90,5.16,5.37,5.66,5.93,6.05,6.22,93.78
"Peden, Ronald",0.27,0.63,1.12,1.59,2.08,2.59,3.02,3.40,3.71,3.94,4.24,4.50,4.76,5.00,5.26,5.54,5.75,5.97,6.16,6.40,6.69,6.93,7.12,7.32,7.41,92.59
"Phillips, Lesley Rebecca",0.46,1.17,2.31,3.26,4.12,5.07,5.80,6.46,7.08,7.56,7.91,8.23,8.50,8.78,9.05,9.26,9.47,9.67,9.83,9.99,10.16,10.30,10.44,10.60,10.68,89.32
"Reeves, Kenneth E.",5.23,11.01,16.18,20.22,23.38,25.92,27.84,29.22,30.26,30.86,31.12,31.35,31.51,31.67,31.83,31.93,32.11,32.28,32.37,32.51,32.58,32.70,32.81,32.93,33.12,66.88
"Seidel, Sam",3.93,8.42,13.24,17.91,21.45,24.15,26.38,27.97,29.02,29.64,30.07,30.36,30.63,30.87,31.03,31.26,31.39,31.52,31.70,31.82,31.95,32.02,32.09,32.20,32.29,67.71
"Simmons, E. Denise",6.63,14.18,21.56,27.35,32.06,35.48,37.54,39.10,40.24,40.77,41.08,41.28,41.45,41.52,41.62,41.72,41.80,41.88,41.96,42.09,42.17,42.24,42.35,42.46,42.54,57.46
"Smith, Jefferson R.",3.24,6.07,8.89,11.76,14.16,15.87,17.34,18.42,19.40,20.05,20.51,20.76,20.95,21.20,21.42,21.58,21.80,21.94,22.11,22.25,22.37,22.51,22.65,22.74,22.87,77.13
"Toomey, Jr., Timothy J.",8.16,13.66,18.10,21.50,24.30,26.69,28.67,30.03,31.08,31.61,31.91,32.18,32.33,32.53,32.65,32.74,32.90,33.01,33.13,33.23,33.38,33.51,33.59,33.70,33.76,66.24
"Vasquez, Luis",1.48,3.36,5.21,6.88,8.40,9.59,10.67,11.62,12.54,13.10,13.55,13.98,14.20,14.43,14.73,14.89,15.07,15.26,15.42,15.63,15.77,15.90,16.03,16.10,16.15,83.85
"Von Hoffmann, Kristen Lane",2.35,4.96,7.33,9.83,12.18,14.15,15.72,17.15,18.18,18.81,19.31,19.67,20.03,20.29,20.52,20.69,20.86,20.98,21.15,21.28,21.40,21.51,21.62,21.73,21.79,78.21
"Williamson, James M.",0.41,0.83,1.31,1.86,2.36,2.92,3.43,3.91,4.33,4.66,4.94,5.21,5.54,5.78,5.97,6.23,6.44,6.60,6.74,6.88,7.10,7.31,7.51,7.77,7.93,92.07
"Yarden, Elie",0.57,1.14,1.86,2.53,3.23,3.89,4.45,5.08,5.64,5.98,6.29,6.58,6.91,7.22,7.42,7.67,7.80,7.93,8.07,8.27,8.43,8.63,8.81,8.97,9.18,90.82
"vanBeuzekom, Minka Y.",4.90,11.30,17.25,22.14,26.25,29.40,32.26,33.91,35.06,35.60,35.97,36.24,36.38,36.47,36.62,36.74,36.76,36.89,36.99,37.07,37.20,37.31,37.37,37.42,37.48,62.52
writeIns,0.09,0.17,0.27,0.31,0.38,0.43,0.48,0.52,0.55,0.58,0.58,0.59,0.59,0.62,0.62,0.63,0.64,0.66,0.68,0.69,0.70,0.73,0.76,0.78,0.82,99.18
