,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Did Not Rank
"Musgrave, Adriane B.",2.57,4.82,7.63,10.33,12.77,15.06,17.03,18.60,19.99,20.73,21.35,21.80,22.15,22.46,22.65,22.86,23.00,23.16,23.33,23.51,23.62,23.72,23.87,23.95,24.01,24.09,75.91
"Okamoto, Nadya T.",2.43,4.90,7.16,9.21,11.09,12.93,14.86,16.21,17.46,18.23,18.81,19.31,19.65,19.92,20.19,20.39,20.59,20.73,20.86,21.03,21.16,21.26,21.37,21.51,21.59,21.69,78.31
"Pillai, Hari I.",0.47,1.14,1.81,2.52,3.22,3.91,4.73,5.47,6.19,6.64,7.00,7.34,7.68,7.98,8.26,8.51,8.71,8.95,9.17,9.31,9.46,9.59,9.71,9.86,10.02,10.09,89.91
"Santos, Jeff",0.65,1.76,3.08,4.28,5.43,6.74,7.73,8.69,9.40,9.99,10.42,10.88,11.28,11.60,11.81,12.03,12.29,12.48,12.66,12.89,13.09,13.21,13.34,13.47,13.61,13.72,86.28
"Siddiqui, Sumbul",11.21,20.63,29.25,35.98,40.71,44.23,46.65,48.51,49.94,50.58,51.00,51.26,51.44,51.61,51.76,51.87,51.96,52.08,52.14,52.23,52.35,52.40,52.47,52.52,52.61,52.66,47.34
"Simmons, E. Denise",11.58,21.57,28.93,34.61,39.45,43.37,46.27,48.13,49.46,50.12,50.52,50.83,51.04,51.17,51.26,51.32,51.37,51.46,51.54,51.56,51.59,51.64,51.70,51.76,51.82,51.92,48.08
"Sivongxay, Vatsady",3.27,7.87,12.94,17.85,22.79,25.99,28.39,30.19,31.36,32.19,32.74,33.16,33.39,33.63,33.85,34.05,34.17,34.29,34.44,34.59,34.67,34.80,34.89,34.98,35.06,35.11,64.89
"Sutton, Bryan",0.20,0.56,0.96,1.45,1.88,2.39,2.90,3.39,3.81,4.08,4.36,4.63,4.90,5.20,5.51,5.78,6.03,6.28,6.49,6.71,6.90,7.06,7.21,7.35,7.48,7.56,92.44
"Tierney, Sean",3.45,7.93,12.15,16.02,19.10,21.71,23.81,25.50,26.77,27.57,28.08,28.56,28.89,29.10,29.36,29.59,29.76,29.95,30.05,30.15,30.29,30.41,30.51,30.58,30.64,30.69,69.31
"Toner, Paul F.",4.34,7.82,10.39,12.52,14.33,15.86,17.41,19.04,20.30,21.00,21.44,21.77,22.07,22.31,22.53,22.72,22.94,23.11,23.32,23.49,23.64,23.80,23.96,24.09,24.15,24.25,75.75
"Toomey, Jr., Timothy J.",7.16,11.79,15.31,17.84,19.81,21.74,23.26,24.77,25.95,26.75,27.19,27.50,27.77,27.95,28.11,28.28,28.39,28.47,28.58,28.70,28.81,28.92,29.05,29.19,29.31,29.46,70.54
"Volmar, Gwen Thomas",1.10,2.12,3.26,4.31,5.41,6.55,7.79,9.05,9.99,10.54,10.97,11.42,11.75,12.03,12.27,12.52,12.73,12.96,13.15,13.37,13.51,13.68,13.81,13.91,14.05,14.12,85.88
"Zondervan, Quinton Y.",6.93,12.60,18.22,22.64,26.47,29.53,31.53,32.97,34.25,35.00,35.43,35.74,36.03,36.21,36.38,36.54,36.72,36.88,37.02,37.16,37.31,37.42,37.51,37.63,37.73,37.83,62.17
writeIns,0.09,0.12,0.18,0.26,0.34,0.41,0.54,0.63,0.71,0.79,0.85,0.87,0.94,0.97,1.00,1.00,1.02,1.05,1.08,1.09,1.11,1.13,1.15,1.20,1.24,1.30,98.70
