,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Did Not Rank
"Mallon, Alanna M.",1329.00,2569.00,3776.00,4738.00,5624.00,6361.00,6922.00,7376.00,7729.00,7940.00,8081.00,8153.00,8220.00,8276.00,8311.00,8346.00,8368.00,8390.00,8416.00,8449.00,8465.00,8485.00,8511.00,8533.00,8550.00,8564.00,14032.00
"McGovern, Marc C.",1880.00,3577.00,5281.00,6700.00,7786.00,8721.00,9461.00,9928.00,10217.00,10386.00,10488.00,10552.00,10599.00,10638.00,10660.00,10678.00,10702.00,10717.00,10734.00,10753.00,10778.00,10799.00,10812.00,10834.00,10854.00,10871.00,11725.00
"Moree, Gregg J.",46.00,111.00,175.00,249.00,326.00,401.00,459.00,509.00,566.00,615.00,658.00,699.00,743.00,781.00,823.00,871.00,929.00,974.00,1020.00,1057.00,1111.00,1170.00,1217.00,1262.00,1306.00,1357.00,21239.00
"Musgrave, Adriane B.",580.00,1088.00,1723.00,2334.00,2885.00,3403.00,3849.00,4203.00,4517.00,4684.00,4825.00,4926.00,5006.00,5074.00,5117.00,5166.00,5198.00,5233.00,5271.00,5312.00,5337.00,5360.00,5394.00,5412.00,5426.00,5444.00,17152.00
"Okamoto, Nadya T.",550.00,1108.00,1618.00,2080.00,2506.00,2921.00,3357.00,3662.00,3946.00,4119.00,4251.00,4363.00,4441.00,4502.00,4563.00,4608.00,4653.00,4685.00,4713.00,4751.00,4781.00,4804.00,4829.00,4861.00,4879.00,4902.00,17694.00
"Pillai, Hari I.",107.00,258.00,409.00,569.00,728.00,884.00,1069.00,1235.00,1398.00,1500.00,1581.00,1658.00,1736.00,1804.00,1866.00,1924.00,1969.00,2023.00,2072.00,2104.00,2137.00,2168.00,2195.00,2229.00,2264.00,2280.00,20316.00
"Santos, Jeff",147.00,397.00,695.00,967.00,1228.00,1522.00,1747.00,1964.00,2125.00,2257.00,2354.00,2458.00,2549.00,2621.00,2669.00,2719.00,2777.00,2820.00,2861.00,2912.00,2957.00,2984.00,3014.00,3044.00,3076.00,3101.00,19495.00
"Siddiqui, Sumbul",2532.00,4661.00,6609.00,8131.00,9198.00,9994.00,10540.00,10962.00,11284.00,11430.00,11525.00,11582.00,11623.00,11661.00,11695.00,11721.00,11741.00,11767.00,11781.00,11802.00,11828.00,11841.00,11857.00,11868.00,11888.00,11899.00,10697.00
"Simmons, E. Denise",2616.00,4873.00,6536.00,7820.00,8914.00,9799.00,10455.00,10876.00,11175.00,11325.00,11415.00,11485.00,11534.00,11563.00,11582.00,11597.00,11608.00,11629.00,11645.00,11650.00,11657.00,11669.00,11683.00,11696.00,11709.00,11731.00,10865.00
"Sivongxay, Vatsady",740.00,1779.00,2923.00,4033.00,5150.00,5873.00,6414.00,6821.00,7087.00,7273.00,7398.00,7492.00,7545.00,7600.00,7648.00,7695.00,7722.00,7749.00,7781.00,7817.00,7834.00,7864.00,7884.00,7904.00,7922.00,7933.00,14663.00
"Sutton, Bryan",45.00,127.00,217.00,328.00,425.00,539.00,655.00,766.00,862.00,923.00,986.00,1047.00,1108.00,1175.00,1244.00,1307.00,1363.00,1419.00,1467.00,1517.00,1559.00,1596.00,1629.00,1660.00,1690.00,1709.00,20887.00
"Tierney, Sean",779.00,1792.00,2746.00,3620.00,4316.00,4905.00,5380.00,5763.00,6049.00,6230.00,6346.00,6454.00,6529.00,6576.00,6634.00,6686.00,6725.00,6768.00,6790.00,6813.00,6845.00,6871.00,6894.00,6910.00,6924.00,6935.00,15661.00
"Toner, Paul F.",980.00,1767.00,2347.00,2828.00,3239.00,3584.00,3934.00,4302.00,4587.00,4745.00,4844.00,4920.00,4988.00,5042.00,5090.00,5134.00,5184.00,5222.00,5270.00,5308.00,5341.00,5378.00,5413.00,5443.00,5458.00,5479.00,17117.00
"Toomey, Jr., Timothy J.",1619.00,2663.00,3460.00,4032.00,4477.00,4912.00,5255.00,5597.00,5864.00,6045.00,6144.00,6215.00,6274.00,6316.00,6352.00,6390.00,6415.00,6433.00,6457.00,6486.00,6510.00,6535.00,6564.00,6595.00,6622.00,6656.00,15940.00
"Volmar, Gwen Thomas",248.00,480.00,737.00,974.00,1223.00,1481.00,1760.00,2045.00,2258.00,2381.00,2478.00,2580.00,2655.00,2719.00,2773.00,2829.00,2876.00,2928.00,2972.00,3022.00,3052.00,3091.00,3121.00,3143.00,3175.00,3191.00,19405.00
"Zondervan, Quinton Y.",1565.00,2847.00,4117.00,5115.00,5981.00,6672.00,7125.00,7451.00,7739.00,7908.00,8006.00,8076.00,8141.00,8183.00,8221.00,8257.00,8297.00,8333.00,8366.00,8397.00,8431.00,8456.00,8476.00,8502.00,8525.00,8549.00,14047.00
writeIns,21.00,28.00,41.00,58.00,76.00,92.00,121.00,143.00,161.00,178.00,191.00,196.00,212.00,219.00,225.00,227.00,231.00,237.00,244.00,247.00,251.00,255.00,260.00,271.00,281.00,293.00,22303.00
