,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Did Not Rank
"Mallon, Alanna M.",5.88,11.36,16.70,20.96,24.88,28.14,30.62,32.62,34.18,35.11,35.73,36.05,36.34,36.59,36.75,36.90,37.00,37.10,37.21,37.35,37.42,37.51,37.63,37.72,37.79,37.86,62.14
"McGovern, Marc C.",8.32,15.83,23.37,29.64,34.44,38.57,41.85,43.91,45.19,45.94,46.39,46.68,46.88,47.06,47.15,47.23,47.34,47.41,47.48,47.57,47.68,47.77,47.83,47.92,48.01,48.09,51.91
"Moree, Gregg J.",0.20,0.49,0.77,1.10,1.44,1.77,2.03,2.25,2.50,2.71,2.90,3.08,3.27,3.44,3.62,3.84,4.09,4.29,4.50,4.66,4.90,5.16,5.36,5.56,5.75,5.98,94.02
"Musgrave, Adriane B.",2.57,4.82,7.63,10.33,12.77,15.06,17.03,18.59,19.98,20.72,21.34,21.78,22.14,22.43,22.62,22.84,22.98,23.14,23.30,23.48,23.59,23.69,23.84,23.92,23.98,24.06,75.94
"Okamoto, Nadya T.",2.43,4.90,7.16,9.21,11.09,12.93,14.85,16.19,17.45,18.22,18.80,19.30,19.63,19.90,20.17,20.37,20.57,20.71,20.83,20.99,21.13,21.23,21.34,21.47,21.55,21.65,78.35
"Pillai, Hari I.",0.47,1.14,1.81,2.52,3.22,3.91,4.73,5.47,6.18,6.63,6.99,7.33,7.67,7.97,8.24,8.49,8.69,8.93,9.15,9.28,9.43,9.56,9.68,9.83,9.99,10.06,89.94
"Santos, Jeff",0.65,1.75,3.07,4.27,5.42,6.71,7.71,8.67,9.38,9.95,10.38,10.84,11.25,11.56,11.77,11.99,12.25,12.44,12.62,12.85,13.05,13.17,13.30,13.43,13.57,13.68,86.32
"Siddiqui, Sumbul",11.21,20.63,29.24,35.98,40.70,44.22,46.63,48.50,49.92,50.56,50.97,51.23,51.41,51.58,51.73,51.84,51.93,52.04,52.10,52.20,52.31,52.36,52.43,52.48,52.57,52.62,47.38
"Simmons, E. Denise",11.58,21.57,28.93,34.61,39.45,43.37,46.26,48.13,49.45,50.11,50.51,50.81,51.03,51.16,51.24,51.31,51.35,51.44,51.51,51.54,51.57,51.62,51.68,51.74,51.80,51.89,48.11
"Sivongxay, Vatsady",3.27,7.87,12.93,17.84,22.78,25.98,28.37,30.17,31.35,32.17,32.73,33.14,33.37,33.62,33.83,34.04,34.16,34.27,34.41,34.56,34.64,34.77,34.86,34.95,35.03,35.08,64.92
"Sutton, Bryan",0.20,0.56,0.96,1.45,1.88,2.38,2.89,3.38,3.80,4.07,4.35,4.62,4.88,5.18,5.48,5.76,6.01,6.25,6.46,6.68,6.86,7.02,7.17,7.31,7.44,7.52,92.48
"Tierney, Sean",3.44,7.93,12.15,16.02,19.09,21.70,23.80,25.50,26.76,27.56,28.07,28.55,28.88,29.08,29.34,29.57,29.74,29.93,30.03,30.13,30.27,30.38,30.48,30.55,30.62,30.66,69.34
"Toner, Paul F.",4.34,7.82,10.39,12.51,14.33,15.86,17.40,19.03,20.29,20.99,21.42,21.76,22.06,22.30,22.50,22.70,22.92,23.08,23.29,23.46,23.60,23.76,23.92,24.05,24.11,24.21,75.79
"Toomey, Jr., Timothy J.",7.16,11.78,15.30,17.83,19.80,21.73,23.24,24.75,25.93,26.73,27.17,27.49,27.75,27.93,28.09,28.26,28.37,28.45,28.55,28.68,28.79,28.90,29.03,29.16,29.28,29.43,70.57
"Volmar, Gwen Thomas",1.10,2.12,3.26,4.31,5.41,6.55,7.78,9.04,9.98,10.52,10.95,11.40,11.74,12.02,12.26,12.50,12.71,12.94,13.13,13.35,13.48,13.65,13.79,13.88,14.02,14.10,85.90
"Zondervan, Quinton Y.",6.93,12.60,18.22,22.63,26.46,29.52,31.52,32.97,34.24,34.99,35.42,35.73,36.02,36.20,36.37,36.52,36.70,36.85,37.00,37.13,37.29,37.40,37.48,37.60,37.70,37.81,62.19
writeIns,0.09,0.12,0.18,0.25,0.33,0.40,0.53,0.62,0.70,0.78,0.84,0.86,0.92,0.96,0.98,0.99,1.00,1.03,1.06,1.08,1.09,1.11,1.13,1.18,1.22,1.27,98.73
