  15     BALLOTS CAST - TOTAL                                                     
 109-04       UNDER VOTES                                                          
 110     MEASURE B
 110-01       YES                                                                 
 110-02       NO                                                                  
 110-03       OVER VOTES
 110-04       UNDER VOTES                                                         
 111     MEASURE C
 111-01       YES                                                                 
 111-02       NO                                                                  
 111-03       OVER VOTES
 111-04       UNDER VOTES                                                         
 112     MEASURE D
 112-01       YES                                                                 
 112-02       NO                                                                  
 112-03       OVER VOTES
 112-04       UNDER VOTES                                                         
 113     MEASURE E
 113-01       YES                                                                  
 113-02       NO                                                                   
 113-03       OVER VOTES
 113-04       UNDER VOTES                                                          
 114     MEASURE F
 114-01       YES                                                                  
 114-02       NO                                                                   
 114-03       OVER VOTES
 114-04       UNDER VOTES                                                          
 115     MEASURE G
 115-01       YES                                                                  
 115-02       NO                                                                   
 115-03       OVER VOTES
 115-04       UNDER VOTES                                                          
 116     MEASURE H
 116-01       Yes                                                                 
 116-02       No                                                                  
 116-03       OVER VOTES
 116-04       UNDER VOTES                                                         
 117     MEASURE I
 117-01       YES                                                                 
 117-02       NO                                                                  
 117-03       OVER VOTES
 117-04       UNDER VOTES                                                         
 118     MEASURE J
 118-01       YES                                                                 
 118-02       NO                                                                  
 118-03       OVER VOTES
 118-04       UNDER VOTES                                                         
 119     MEASURE K
 119-01       YES                                                                 
 119-02       NO                                                                  
 119-03       OVER VOTES
 119-04       UNDER VOTES                                                         
