"condorcet winner: Cheung, Leland","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"Mello, Gary W.",15.11,17.11,6.87,20.46,13.18,40.57,38.06,11.99,14.41,12.33,,38.47,66.93,59.71,43.72,15.37,15.87,10.91,22.54,13.81,30.32,22.87,53.62,47.76,12.17,93.54
"Mirza, Mushtaque A.",23.29,26.38,11.44,29.97,21.33,54.68,53.08,20.29,21.34,19.78,61.53,,78.41,71.69,57.72,23.48,23.21,16.94,31.94,23.18,41.88,32.43,67.21,61.53,18.07,95.81
"Moree, Gregg J.",9.04,11.68,4.13,13.51,7.91,27.34,26.69,6.67,9.37,7.31,33.07,21.59,,47.35,31.71,9.74,10.10,6.76,15.17,8.45,20.09,14.62,41.02,34.32,7.78,90.94
"Peden, Ronald",11.66,14.05,5.46,16.45,10.73,34.48,32.80,9.53,11.10,10.02,40.29,28.31,52.65,,38.37,12.21,12.59,8.70,17.93,11.76,24.93,18.39,48.21,41.32,9.50,92.21
"Phillips, Lesley Rebecca",19.99,23.12,8.54,25.66,17.04,49.46,47.51,15.22,18.78,16.15,56.28,42.28,68.29,61.63,,18.86,19.84,12.85,27.50,17.98,36.92,27.10,63.09,57.14,14.98,94.61
"Reeves, Kenneth E.",50.93,55.83,29.57,60.35,48.63,81.60,78.51,44.42,52.42,45.68,84.63,76.52,90.26,87.79,81.14,,51.51,39.49,61.22,51.03,72.36,63.56,87.24,84.72,46.12,98.43
"Seidel, Sam",50.33,54.31,27.92,60.73,46.62,81.06,78.67,43.44,51.21,43.47,84.13,76.79,89.90,87.41,80.16,48.49,,40.98,62.64,49.31,71.55,64.32,87.45,84.23,43.73,98.38
"Simmons, E. Denise",60.39,63.18,38.13,69.23,57.58,86.95,84.12,54.38,60.92,54.60,89.09,83.06,93.24,91.30,87.15,60.51,59.02,,70.28,60.59,80.11,72.40,91.47,89.61,55.66,98.83
"Smith, Jefferson R.",39.12,43.86,21.39,49.93,36.67,73.39,70.45,34.45,40.23,33.85,77.46,68.06,84.83,82.07,72.50,38.78,37.36,29.72,,39.04,63.02,53.29,82.30,78.17,33.62,97.63
"Toomey, Jr., Timothy J.",51.88,57.09,32.40,61.33,50.59,82.73,79.92,44.49,53.50,47.71,86.19,76.82,91.55,88.24,82.02,48.97,50.69,39.41,60.96,,73.46,64.37,88.06,85.31,47.48,98.59
"Vasquez, Luis",27.90,34.06,15.65,38.64,27.47,65.10,61.77,25.49,28.38,25.36,69.68,58.12,79.91,75.07,63.08,27.64,28.45,19.89,36.98,26.54,,41.65,76.62,71.52,22.99,96.57
"Von Hoffmann, Kristen Lane",38.94,41.83,19.93,47.67,34.42,73.03,70.02,32.88,38.73,32.65,77.13,67.57,85.38,81.61,72.90,36.44,35.68,27.60,46.71,35.63,58.35,,83.03,79.84,29.51,97.36
"Williamson, James M.",13.81,16.22,6.93,19.89,12.33,40.14,38.58,11.63,13.55,11.95,46.38,32.79,58.98,51.79,36.91,12.76,12.55,8.53,17.70,11.94,23.38,16.97,,47.39,9.30,92.43
"Yarden, Elie",17.49,20.15,8.11,23.12,15.25,45.73,44.10,14.27,16.43,14.72,52.24,38.47,65.68,58.68,42.86,15.28,15.77,10.39,21.83,14.69,28.48,20.16,52.61,,11.25,93.56
"vanBeuzekom, Minka Y.",56.72,60.38,34.10,67.04,53.09,85.34,82.16,50.26,57.84,51.78,87.83,81.93,92.22,90.50,85.02,53.88,56.27,44.34,66.38,52.52,77.01,70.49,90.70,88.75,,98.63
writeIns,1.62,2.07,0.81,2.32,1.55,5.31,4.64,1.46,1.71,1.36,6.46,4.19,9.06,7.79,5.39,1.57,1.62,1.17,2.37,1.41,3.43,2.64,7.57,6.44,1.37,
