Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Charles Exner,AK Hassan,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-12 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-6 P-06,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-2 P-01,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-06,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-06,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-6 P-07,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-02,AK Hassan,Charles Exner,undervote,1
MINNEAPOLIS W-6 P-05,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-06,undervote,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-2 P-09,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Charles Exner,undervote,undervote,1
MINNEAPOLIS W-9 P-09,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-06,AK Hassan,Charles Exner,undervote,1
MINNEAPOLIS W-2 P-01,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-9 P-02,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-2 P-01,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-2 P-11,Charles Exner,undervote,undervote,1
MINNEAPOLIS W-6 P-02,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Charles Exner,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-12 P-01,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-05,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-05,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-04,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-01,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-2 P-09,Charles Exner,undervote,undervote,1
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-05,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-03,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-6 P-06,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-2 P-11,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-07,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-11,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-6 P-07,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-04,Charles Exner,undervote,undervote,1
MINNEAPOLIS W-9 P-04,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-01,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-04,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-03,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-03,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-11,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-9 P-04,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-2 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-2 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-6 P-03,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-03,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-9 P-06,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-04,Charles Exner,Abdi Gurhan Mohamed,AK Hassan,1
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-9 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-03,undervote,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-9 P-06,Charles Exner,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-01,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-12 P-01,AK Hassan,Charles Exner,undervote,1
MINNEAPOLIS W-2 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-06,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-07,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-04,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-03,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-09,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-01,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-06,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-07,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-2 P-11,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-6 P-08,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-2 P-11,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-04,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-12 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-06,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-04,Charles Exner,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-08,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-9 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-2 P-01,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-6 P-07,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-6 P-05,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,Charles Exner,Abdi Gurhan Mohamed,AK Hassan,1
MINNEAPOLIS W-9 P-04,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-05,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-2 P-11,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-2 P-11,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-6 P-01,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-9 P-05,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,overvote,overvote,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-2 P-01,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-9 P-01,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-09,Charles Exner,AK Hassan,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-09,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-2 P-01,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-01,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-2 P-11,Charles Exner,undervote,undervote,1
MINNEAPOLIS W-6 P-06,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-2 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-9 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-06,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-08,AK Hassan,AK Hassan,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-2 P-09,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-2 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-06,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-6 P-06,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-6 P-03,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-06,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-6 P-06,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-12 P-01,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,Charles Exner,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-06,overvote,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-01,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-03,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-9 P-05,Charles Exner,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-2 P-08,AK Hassan,Charles Exner,undervote,1
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-12 P-01,Abdi Gurhan Mohamed,AK Hassan,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-06,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,AK Hassan,1
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-04,AK Hassan,AK Hassan,AK Hassan,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1
MINNEAPOLIS W-9 P-02,AK Hassan,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,undervote,1
MINNEAPOLIS W-2 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,undervote,undervote,1
MINNEAPOLIS W-2 P-11,AK Hassan,Charles Exner,undervote,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-05,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,undervote,undervote,1
