C:\Cambridge\Election2011\Council\Tuesday\Council Tabular Report (Delimited)
November 8, 2011 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Preliminary Results (Election Night)

15,393 valid ballots.
Electing 9 candidates.
Quota is 1540 votes.
There were no invalid ballots.
(15,393 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|
Reeves, Kenneth E.|979.0000000000|1014.0000000000|1032.0000000000|1045.0000000000|1045.0000000000|1047.0000000000|1051.0000000000|1060.0000000000|1068.0000000000|1084.0000000000|1105.0000000000|1158.0000000000|1265.0000000000|1540.0000000000|ELECTED -- 14th count
Seidel, Sam|768.0000000000|808.0000000000|813.0000000000|818.0000000000|818.0000000000|819.0000000000|822.0000000000|825.0000000000|839.0000000000|892.0000000000|926.0000000000|1010.0000000000|0|0|DEFEATED -- 12th count
Simmons, E. Denise|1224.0000000000|1265.0000000000|1283.0000000000|1293.0000000000|1293.0000000000|1296.0000000000|1301.0000000000|1309.0000000000|1326.0000000000|1348.0000000000|1371.0000000000|1438.0000000000|1540.0000000000|1540.0000000000|ELECTED -- 13th count
Stohlman, Jr., Thomas J.|336.0000000000|356.0000000000|358.0000000000|361.0000000000|361.0000000000|370.0000000000|373.0000000000|385.0000000000|404.0000000000|0|0|0|0|0|DEFEATED -- 9th count
Toomey, Jr., Timothy J.|1654.0000000000|1654.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|1540.0000000000|ELECTED -- 1st count
vanBeuzekom, Minka Y.|1011.0000000000|1067.0000000000|1073.0000000000|1077.0000000000|1077.0000000000|1079.0000000000|1084.0000000000|1099.0000000000|1129.0000000000|1222.0000000000|1284.0000000000|1377.0000000000|1537.0000000000|1540.0000000000|ELECTED -- 14th count
Ward, Larry W.|816.0000000000|829.0000000000|840.0000000000|849.0000000000|849.0000000000|854.0000000000|855.0000000000|868.0000000000|892.0000000000|917.0000000000|969.0000000000|1088.0000000000|1186.0000000000|0|DEFEATED -- 13th count
Williamson, James M.|171.0000000000|173.0000000000|175.0000000000|177.0000000000|177.0000000000|183.0000000000|185.0000000000|192.0000000000|0|0|0|0|0|0|DEFEATED -- 8th count
Write-In 1|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 2|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 3|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 4|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 5|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 6|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 7|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 8|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 9|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count



Tuesday, November 8, 2011 10:34 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
