ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
44,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
49,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
52,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
56,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Nolan, Patricia M.","Harding, Jr., Richard","Osborne, Mervan F.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
59,overvote,skipped,Write-In 2,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,"Nolan, Patricia M.","Turkel, Alice L.","Tauber, Nancy","Fantini, Alfred B.","Forster, Bill","McGovern, Marc C.",skipped,"Stead, Sr., Charles Lewis",skipped,skipped,skipped
61,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
62,"Turkel, Alice L.","Nolan, Patricia M.","Tauber, Nancy","Gerber, Joyce C.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped
63,"Holland, John J.","Gerber, Joyce C.","Nolan, Patricia M.",Write-In 1,"Stead, Sr., Charles Lewis","Osborne, Mervan F.","Turkel, Alice L.","Fantini, Alfred B.","Forster, Bill",skipped,skipped
64,"Turkel, Alice L.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
65,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
67,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
68,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
71,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
72,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
73,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
74,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
76,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
77,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
78,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
79,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
80,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
81,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
83,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
84,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
85,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
86,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
87,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
88,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
89,skipped,skipped,skipped,"Nolan, Patricia M.","McGovern, Marc C.",skipped,"Harding, Jr., Richard","Gerber, Joyce C.",skipped,skipped,skipped
90,"Turkel, Alice L.","Tauber, Nancy",skipped,"McGovern, Marc C.",skipped,skipped,skipped,skipped,Write-In 1,skipped,skipped
91,"Nolan, Patricia M.","Tauber, Nancy","McGovern, Marc C.",Write-In 1,"Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped
92,"Tauber, Nancy","Holland, John J.","Osborne, Mervan F.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
93,"Osborne, Mervan F.","Nolan, Patricia M.",Write-In 1,"Turkel, Alice L.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
94,"Harding, Jr., Richard","McGovern, Marc C.","Stead, Sr., Charles Lewis","Turkel, Alice L.","Tauber, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
95,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
96,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
97,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
98,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
99,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
100,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
101,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
102,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
103,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
104,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
105,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
106,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
107,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
108,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
109,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
110,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
111,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
112,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
113,"Fantini, Alfred B.","Nolan, Patricia M.","McGovern, Marc C.","Gerber, Joyce C.","Holland, John J.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped
114,"Fantini, Alfred B.","Harding, Jr., Richard","Gerber, Joyce C.","Forster, Bill","McGovern, Marc C.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped
115,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
116,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
117,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
118,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
119,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
120,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
121,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
122,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
123,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
124,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
125,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
126,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
127,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
128,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
129,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
130,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
131,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
132,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
133,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
134,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
135,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
136,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
137,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
138,"Fantini, Alfred B.","McGovern, Marc C.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
139,"Fantini, Alfred B.","Harding, Jr., Richard","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
140,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
141,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
142,"Stead, Sr., Charles Lewis","Forster, Bill","Gerber, Joyce C.","Holland, John J.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped
143,"Fantini, Alfred B.","Harding, Jr., Richard","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
144,"Fantini, Alfred B.","Stead, Sr., Charles Lewis",Write-In 1,"Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
145,"Fantini, Alfred B.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
146,"Fantini, Alfred B.","Harding, Jr., Richard",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
147,"Harding, Jr., Richard","Fantini, Alfred B.","Turkel, Alice L.",overvote,"Osborne, Mervan F.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
148,"Forster, Bill","Gerber, Joyce C.","Holland, John J.","Stead, Sr., Charles Lewis","Tauber, Nancy",Write-In 1,"Osborne, Mervan F.",skipped,skipped,skipped,skipped
149,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
150,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
151,Write-In 1,"Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
152,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
153,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
154,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
155,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
156,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
157,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
158,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
159,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
160,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
161,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
162,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
163,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
164,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
165,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
166,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
167,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
168,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
169,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
170,"Fantini, Alfred B.","Nolan, Patricia M.","Harding, Jr., Richard","Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
171,"Fantini, Alfred B.","Turkel, Alice L.","Harding, Jr., Richard","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy",Write-In 1,skipped,skipped,skipped,skipped
172,"Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
173,"Fantini, Alfred B.","Tauber, Nancy",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
174,"Harding, Jr., Richard","Fantini, Alfred B.","Nolan, Patricia M.","Turkel, Alice L.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped
175,"Forster, Bill","Nolan, Patricia M.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
176,"Fantini, Alfred B.","Holland, John J.","Harding, Jr., Richard","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
177,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
178,"Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
179,Write-In 1,Write-In 3,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
180,Write-In 5,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
181,Write-In 1,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
182,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
183,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
184,Write-In 1,"Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
185,Write-In 1,"Fantini, Alfred B.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
186,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
187,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
188,"Fantini, Alfred B.",Write-In 1,"Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
189,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
190,"Osborne, Mervan F.","Stead, Sr., Charles Lewis",Write-In 1,"Gerber, Joyce C.","Turkel, Alice L.","Tauber, Nancy","Nolan, Patricia M.","McGovern, Marc C.","Forster, Bill","Harding, Jr., Richard","Holland, John J."
191,"Holland, John J.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
192,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
193,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
194,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
195,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
196,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
197,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
198,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
199,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
200,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
201,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
202,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
203,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
204,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
205,Write-In 1,Write-In 2,Write-In 3,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
206,"Stead, Sr., Charles Lewis",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
207,Write-In 1,"Turkel, Alice L.","Gerber, Joyce C.","Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
208,Write-In 2,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
209,"McGovern, Marc C.","Fantini, Alfred B.","Stead, Sr., Charles Lewis","Nolan, Patricia M.","Holland, John J.","Forster, Bill",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5
210,"Fantini, Alfred B.","Nolan, Patricia M.","Osborne, Mervan F.","Harding, Jr., Richard",skipped,"Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped
211,Write-In 2,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
212,Write-In 1,Write-In 2,Write-In 3,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
213,Write-In 2,"Fantini, Alfred B.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
214,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
215,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
216,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
217,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
218,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
219,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
220,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
221,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
222,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
223,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
224,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
225,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
226,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
227,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
228,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
229,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
230,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
231,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
232,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
233,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
234,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
235,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
236,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
237,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
238,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
239,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
240,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
241,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
242,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
243,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
244,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
245,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
246,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
247,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
248,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
249,"Tauber, Nancy","Fantini, Alfred B.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
250,Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
251,"Holland, John J.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Forster, Bill","Gerber, Joyce C.",Write-In 1,skipped,skipped,skipped,skipped,skipped
252,"Fantini, Alfred B.",Write-In 1,"Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
253,"Osborne, Mervan F.","Tauber, Nancy","Turkel, Alice L.","Gerber, Joyce C.","Holland, John J.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped
254,"Nolan, Patricia M.","Harding, Jr., Richard",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
255,"Gerber, Joyce C.","Holland, John J.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
256,"Harding, Jr., Richard","Stead, Sr., Charles Lewis","Fantini, Alfred B.","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped
257,"Stead, Sr., Charles Lewis","Harding, Jr., Richard","Holland, John J.","Forster, Bill","Gerber, Joyce C.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Tauber, Nancy","Turkel, Alice L.","Fantini, Alfred B."
258,"Turkel, Alice L.","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
