"condorcet winner: Cheung, Leland","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6,Write-In 7,Write-In 9,"vanBeuzekom, Minka Y."
"Stohlman, Jr., Thomas J.",15.60,21.30,26.22,29.66,24.12,49.38,64.81,72.85,46.71,70.27,28.05,27.25,23.19,,29.38,35.05,69.31,97.17,99.29,99.87,99.97,99.97,99.97,99.97,99.90,29.80
"Toomey, Jr., Timothy J.",35.71,41.71,47.04,54.80,43.17,73.48,83.69,88.04,69.88,86.70,48.99,49.74,41.31,70.62,,58.70,84.50,98.84,99.64,99.95,99.98,99.98,99.98,99.98,99.97,54.85
"Ward, Larry W.",28.29,33.65,39.57,45.20,36.79,66.37,79.88,85.68,63.79,83.97,41.42,41.79,34.05,64.95,41.30,,82.96,98.45,99.57,99.90,99.96,99.96,99.96,99.96,99.94,44.96
"Williamson, James M.",9.89,12.50,14.80,18.00,14.12,32.92,48.73,58.85,30.72,55.39,16.02,16.10,12.31,30.69,15.50,17.04,,95.39,98.88,99.78,99.95,99.95,99.95,99.95,99.84,16.48
Write-In 1,0.75,1.04,1.22,1.47,1.07,2.81,4.50,5.56,2.53,5.35,1.33,1.33,1.09,2.83,1.16,1.55,4.61,,90.00,98.18,100.00,100.00,100.00,100.00,97.30,1.46
Write-In 2,0.24,0.30,0.39,0.43,0.33,0.77,1.12,1.51,0.67,1.45,0.41,0.38,0.33,0.71,0.36,0.43,1.12,10.00,,93.33,100.00,100.00,100.00,100.00,90.32,0.40
Write-In 3,0.07,0.07,0.12,0.13,0.09,0.20,0.21,0.40,0.18,0.38,0.08,0.12,0.07,0.13,0.05,0.10,0.22,1.82,6.67,,100.00,100.00,100.00,100.00,75.00,0.08
Write-In 4,0.02,0.04,0.04,0.04,0.01,0.07,0.10,0.20,0.06,0.13,0.05,0.07,0.03,0.03,0.02,0.04,0.05,0.00,0.00,0.00,,100.00,100.00,100.00,57.14,0.02
Write-In 5,0.02,0.04,0.04,0.04,0.01,0.03,0.05,0.13,0.03,0.06,0.05,0.05,0.03,0.03,0.02,0.04,0.05,0.00,0.00,0.00,0.00,,100.00,100.00,50.00,0.02
Write-In 6,0.02,0.04,0.04,0.04,0.01,0.03,0.05,0.13,0.03,0.06,0.05,0.05,0.03,0.03,0.02,0.04,0.05,0.00,0.00,0.00,0.00,0.00,,100.00,50.00,0.02
Write-In 7,0.02,0.04,0.04,0.04,0.01,0.03,0.05,0.13,0.03,0.06,0.05,0.05,0.03,0.03,0.02,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.00,,50.00,0.02
Write-In 9,0.02,0.04,0.03,0.05,0.01,0.10,0.10,0.20,0.09,0.19,0.05,0.03,0.04,0.10,0.03,0.06,0.16,2.70,9.68,25.00,42.86,50.00,50.00,50.00,,0.06
"vanBeuzekom, Minka Y.",29.45,35.58,41.60,48.23,40.45,69.56,80.83,85.64,66.88,84.31,45.83,45.14,38.70,70.20,45.15,55.04,83.52,98.54,99.60,99.92,99.98,99.98,99.98,99.98,99.94,
