"condorcet winner: Siddiqui, Sumbul","Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.",writeIns
"Mallon, Alanna M.",8114.00,7952.00,6524.00,7627.00,5942.00,6955.00,7321.00,6882.00,8182.00,7957.00,,5658.00,8328.00,6866.00,7547.00,8068.00,8023.00,5576.00,5562.00,6735.00,8243.00,6571.00,7391.00,7406.00,7805.00,6553.00,8525.00
"McGovern, Marc C.",10444.00,10258.00,8170.00,10173.00,7577.00,9226.00,9286.00,8686.00,10557.00,10317.00,8272.00,,10653.00,9516.00,9944.00,10436.00,10335.00,7631.00,7134.00,8891.00,10551.00,9002.00,9528.00,9130.00,10230.00,8514.00,10831.00
"Moree, Gregg J.",846.00,800.00,601.00,775.00,576.00,697.00,640.00,574.00,816.00,734.00,575.00,509.00,,806.00,820.00,892.00,879.00,652.00,520.00,748.00,903.00,726.00,753.00,667.00,820.00,714.00,1312.00
"Musgrave, Adriane B.",5000.00,4863.00,3800.00,4581.00,3371.00,4017.00,4484.00,4222.00,5043.00,4868.00,3236.00,3004.00,5033.00,,4521.00,4963.00,4950.00,3286.00,3130.00,3957.00,5114.00,4066.00,4628.00,4605.00,4678.00,3836.00,5409.00
"Okamoto, Nadya T.",4419.00,4334.00,3374.00,3941.00,2977.00,3674.00,3903.00,3786.00,4504.00,4316.00,3275.00,3235.00,4492.00,3617.00,,4369.00,4367.00,2642.00,2994.00,3282.00,4506.00,3901.00,4132.00,4052.00,4165.00,3228.00,4860.00
"Pillai, Hari I.",1815.00,1765.00,1316.00,1645.00,1159.00,1368.00,1555.00,1478.00,1871.00,1735.00,1250.00,1209.00,1842.00,1396.00,1300.00,,1771.00,1069.00,1141.00,1379.00,1886.00,1564.00,1699.00,1623.00,1687.00,1311.00,2246.00
"Santos, Jeff",2650.00,2551.00,1686.00,2441.00,1579.00,2222.00,2202.00,2110.00,2684.00,2479.00,2034.00,1757.00,2665.00,2207.00,2200.00,2455.00,,1506.00,1778.00,1851.00,2670.00,2209.00,2353.00,2147.00,2511.00,1792.00,3047.00
"Siddiqui, Sumbul",11515.00,11392.00,8968.00,11085.00,8399.00,10266.00,10650.00,10231.00,11610.00,11319.00,9286.00,8837.00,11576.00,10389.00,10713.00,11319.00,11243.00,,8986.00,9869.00,11632.00,10297.00,10849.00,10806.00,11292.00,8877.00,11860.00
"Simmons, E. Denise",11368.00,11221.00,9588.00,11023.00,8967.00,10024.00,10219.00,9893.00,11524.00,11285.00,9308.00,8159.00,11492.00,10139.00,10619.00,11251.00,11182.00,8357.00,,9855.00,11493.00,9990.00,10554.00,10218.00,11110.00,9622.00,11705.00
"Sivongxay, Vatsady",7543.00,7453.00,5219.00,7037.00,4696.00,6531.00,6883.00,6618.00,7612.00,7363.00,6019.00,5643.00,7605.00,6625.00,6698.00,7315.00,7217.00,3365.00,5593.00,,7625.00,6736.00,7158.00,7111.00,7284.00,4932.00,7893.00
"Sutton, Bryan",1290.00,1220.00,842.00,1133.00,812.00,1060.00,1108.00,956.00,1321.00,1171.00,914.00,797.00,1295.00,954.00,965.00,1088.00,1045.00,699.00,692.00,828.00,,1059.00,1153.00,1037.00,1193.00,940.00,1666.00
"Tierney, Sean",6569.00,6393.00,5243.00,6309.00,4987.00,5493.00,5820.00,5470.00,6635.00,6437.00,4706.00,4136.00,6589.00,5275.00,6029.00,6356.00,6299.00,4418.00,4260.00,5391.00,6446.00,,5694.00,5623.00,6363.00,5354.00,6894.00
"Toner, Paul F.",5100.00,4920.00,4107.00,4932.00,3961.00,4303.00,4467.00,3992.00,5132.00,5011.00,3662.00,3434.00,5107.00,4347.00,4716.00,4911.00,4845.00,3565.00,3318.00,4258.00,4968.00,3718.00,,4135.00,4976.00,4383.00,5441.00
"Toomey, Jr., Timothy J.",6268.00,6137.00,5328.00,6182.00,5132.00,5592.00,5405.00,5130.00,6376.00,6224.00,5185.00,4353.00,6376.00,5656.00,5901.00,6158.00,6127.00,4985.00,3651.00,5626.00,6222.00,5112.00,5195.00,,6171.00,5678.00,6614.00
"Volmar, Gwen Thomas",2798.00,2748.00,2015.00,2431.00,1723.00,2301.00,2470.00,2291.00,2866.00,2712.00,1830.00,1911.00,2843.00,2142.00,2123.00,2599.00,2590.00,1400.00,1716.00,1786.00,2656.00,2173.00,2402.00,2390.00,,2033.00,3153.00
"Zondervan, Quinton Y.",8162.00,8085.00,5851.00,7716.00,5406.00,7237.00,7582.00,7251.00,8258.00,7995.00,6781.00,6396.00,8244.00,7461.00,7501.00,7954.00,7853.00,4654.00,6423.00,6028.00,8099.00,7198.00,7640.00,7660.00,7713.00,,8498.00
writeIns,223.00,213.00,139.00,204.00,136.00,175.00,189.00,156.00,225.00,213.00,152.00,140.00,230.00,167.00,180.00,204.00,214.00,125.00,122.00,156.00,224.00,160.00,186.00,194.00,195.00,163.00,
