"condorcet winner: Simmons, E. Denise","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"McGovern, Marc C.",5569.00,6188.00,5150.00,6487.00,7363.00,6572.00,7419.00,6465.00,7418.00,5563.00,7289.00,5093.00,7149.00,5544.00,,7476.00,7464.00,7503.00,5121.00,6055.00,6975.00,7430.00,6358.00,7691.00
"Mello, Gary W.",926.00,905.00,839.00,897.00,1078.00,931.00,1128.00,912.00,1109.00,835.00,1037.00,829.00,1028.00,716.00,809.00,,1242.00,1280.00,847.00,975.00,1096.00,1162.00,943.00,1521.00
"Moree, Gregg J.",770.00,859.00,686.00,886.00,1067.00,864.00,1092.00,872.00,1082.00,722.00,1041.00,671.00,980.00,689.00,684.00,927.00,,1179.00,677.00,844.00,1040.00,1136.00,886.00,1452.00
"Sanzone, John",710.00,699.00,644.00,722.00,875.00,652.00,894.00,697.00,891.00,678.00,838.00,639.00,830.00,462.00,620.00,750.00,795.00,,662.00,757.00,791.00,944.00,752.00,1262.00
"Simmons, E. Denise",6536.00,7230.00,6061.00,7397.00,8372.00,7396.00,8417.00,7393.00,8442.00,6636.00,8307.00,6311.00,8267.00,6519.00,5857.00,8374.00,8363.00,8414.00,,7196.00,7874.00,8455.00,7230.00,8634.00
"Toomey, Jr., Timothy J.",4330.00,5319.00,4146.00,5512.00,5977.00,5439.00,6011.00,5573.00,6006.00,4457.00,5908.00,3725.00,5703.00,4885.00,4092.00,5911.00,5932.00,5961.00,3573.00,,5820.00,6033.00,5319.00,6237.00
"Waite, Romaine",3302.00,2406.00,3293.00,2331.00,3776.00,2605.00,3842.00,2401.00,3809.00,3356.00,3668.00,3427.00,3784.00,1502.00,3231.00,3725.00,3774.00,3778.00,3031.00,3505.00,,3868.00,2995.00,4182.00
"Williamson, James M.",964.00,878.00,890.00,861.00,1138.00,917.00,1162.00,866.00,1165.00,904.00,1076.00,908.00,1141.00,662.00,863.00,1054.00,1107.00,1131.00,746.00,918.00,843.00,,745.00,1544.00
"vanBeuzekom, Minka Y.",4730.00,4366.00,4262.00,4482.00,5679.00,4576.00,5724.00,4439.00,5740.00,4477.00,5564.00,4774.00,5665.00,3763.00,4352.00,5608.00,5656.00,5694.00,4111.00,5055.00,5084.00,5761.00,,6051.00
writeIns,98.00,96.00,90.00,92.00,116.00,92.00,120.00,96.00,116.00,96.00,114.00,96.00,112.00,75.00,90.00,117.00,122.00,117.00,87.00,97.00,97.00,119.00,95.00,
