"condorcet winner: Cheung, Leland","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"Peden, Ronald",11.57,13.98,5.42,16.37,10.71,34.43,32.68,9.48,10.98,9.92,40.18,28.16,52.52,,38.18,12.13,12.50,8.63,17.79,11.70,24.78,18.30,48.20,41.23,9.44,92.48
"Phillips, Lesley Rebecca",19.96,23.15,8.54,25.68,17.07,49.52,47.50,15.20,18.77,16.11,56.31,42.29,68.35,61.82,,18.84,19.83,12.84,27.46,17.99,36.93,27.08,63.20,57.16,14.98,94.79
"Reeves, Kenneth E.",50.92,55.87,29.55,60.39,48.66,81.65,78.53,44.41,52.40,45.65,84.68,76.55,90.31,87.87,81.16,,51.52,39.47,61.23,51.06,72.40,63.58,87.32,84.77,46.14,98.50
"Seidel, Sam",50.32,54.32,27.91,60.76,46.65,81.09,78.69,43.45,51.19,43.45,84.16,76.79,89.95,87.50,80.17,48.48,,40.98,62.64,49.31,71.59,64.34,87.51,84.26,43.74,98.44
"Simmons, E. Denise",60.40,63.19,38.12,69.26,57.61,87.00,84.13,54.39,60.92,54.59,89.14,83.09,93.25,91.37,87.16,60.53,59.02,,70.30,60.61,80.16,72.43,91.53,89.66,55.67,98.85
"Smith, Jefferson R.",39.13,43.88,21.39,49.99,36.70,73.47,70.48,34.46,40.24,33.84,77.54,68.12,84.92,82.21,72.54,38.77,37.36,29.70,,39.05,63.08,53.34,82.41,78.26,33.64,97.74
"Toomey, Jr., Timothy J.",51.88,57.11,32.39,61.36,50.58,82.75,79.93,44.48,53.49,47.69,86.24,76.82,91.60,88.30,82.01,48.94,50.69,39.39,60.95,,73.50,64.39,88.11,85.34,47.51,98.60
"Vasquez, Luis",27.87,34.06,15.61,38.62,27.44,65.11,61.78,25.45,28.33,25.31,69.76,58.12,79.98,75.22,63.07,27.60,28.41,19.84,36.92,26.50,,41.63,76.70,71.56,22.98,96.63
"Von Hoffmann, Kristen Lane",38.91,41.81,19.91,47.69,34.42,73.03,70.03,32.86,38.71,32.59,77.18,67.56,85.45,81.70,72.92,36.42,35.66,27.57,46.66,35.61,58.37,,83.09,79.86,29.49,97.46
"Williamson, James M.",13.72,16.17,6.89,19.85,12.26,40.03,38.48,11.57,13.47,11.86,46.34,32.66,58.97,51.80,36.80,12.68,12.49,8.47,17.59,11.89,23.30,16.91,,47.31,9.29,92.58
"Yarden, Elie",17.44,20.15,8.07,23.10,15.20,45.70,44.02,14.23,16.37,14.65,52.21,38.42,65.72,58.77,42.84,15.23,15.74,10.34,21.74,14.66,28.44,20.14,52.69,,11.24,93.75
"vanBeuzekom, Minka Y.",56.70,60.37,34.10,67.08,53.10,85.35,82.18,50.25,57.83,51.75,87.86,81.94,92.26,90.56,85.02,53.86,56.26,44.33,66.36,52.49,77.02,70.51,90.71,88.76,,98.67
writeIns,1.55,1.99,0.77,2.25,1.51,5.14,4.48,1.42,1.66,1.30,6.26,4.04,8.74,7.52,5.21,1.50,1.56,1.15,2.26,1.40,3.37,2.54,7.42,6.25,1.33,
