"condorcet winner: Cheung, Leland","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"Peden, Ronald",693.00,722.00,538.00,754.00,701.00,839.00,850.00,679.00,614.00,673.00,839.00,780.00,876.00,,921.00,772.00,772.00,689.00,805.00,763.00,823.00,791.00,948.00,893.00,669.00,1304.00
"Phillips, Lesley Rebecca",1289.00,1309.00,867.00,1273.00,1180.00,1450.00,1504.00,1140.00,1126.00,1153.00,1485.00,1374.00,1542.00,1491.00,,1269.00,1302.00,1054.00,1368.00,1240.00,1410.00,1246.00,1592.00,1496.00,1106.00,1892.00
"Reeves, Kenneth E.",4579.00,5084.00,3411.00,5091.00,4590.00,5505.00,5461.00,4202.00,4875.00,4417.00,5566.00,5409.00,5632.00,5591.00,5465.00,,4841.00,3671.00,5071.00,4567.00,5331.00,5234.00,5645.00,5587.00,4557.00,5892.00
"Seidel, Sam",4496.00,4430.00,3156.00,4728.00,4212.00,5267.00,5338.00,4192.00,4472.00,3934.00,5352.00,5209.00,5466.00,5403.00,5263.00,4555.00,,4233.00,4789.00,4776.00,5186.00,4878.00,5479.00,5390.00,4061.00,5746.00
"Simmons, E. Denise",6073.00,6387.00,4622.00,6636.00,6011.00,7206.00,7228.00,5790.00,6302.00,5735.00,7296.00,7101.00,7353.00,7296.00,7155.00,5630.00,6096.00,,6628.00,6256.00,6988.00,6744.00,7352.00,7294.00,5832.00,7573.00
"Smith, Jefferson R.",3007.00,3067.00,2321.00,3220.00,3002.00,3619.00,3644.00,3061.00,2958.00,2775.00,3691.00,3567.00,3766.00,3721.00,3614.00,3211.00,2856.00,2800.00,,3308.00,3537.00,3342.00,3785.00,3750.00,2830.00,4071.00
"Toomey, Jr., Timothy J.",4911.00,5299.00,3871.00,5333.00,4797.00,5679.00,5587.00,4013.00,5177.00,4744.00,5720.00,5599.00,5778.00,5756.00,5653.00,4378.00,4910.00,4065.00,5164.00,,5563.00,5408.00,5802.00,5735.00,4865.00,6007.00
"Vasquez, Luis",1882.00,2143.00,1662.00,2215.00,2076.00,2452.00,2512.00,2095.00,1823.00,1956.00,2489.00,2374.00,2584.00,2498.00,2408.00,2032.00,2058.00,1730.00,2070.00,2006.00,,2281.00,2597.00,2541.00,1827.00,2869.00
"Von Hoffmann, Kristen Lane",3010.00,2848.00,2146.00,2916.00,2735.00,3456.00,3484.00,2906.00,2787.00,2670.00,3511.00,3401.00,3612.00,3532.00,3355.00,2998.00,2704.00,2567.00,2924.00,2991.00,3198.00,,3617.00,3552.00,2435.00,3870.00
"Williamson, James M.",830.00,834.00,690.00,923.00,806.00,1000.00,1051.00,841.00,762.00,811.00,1006.00,937.00,1068.00,1019.00,927.00,820.00,782.00,680.00,808.00,783.00,789.00,736.00,,1019.00,660.00,1398.00
"Yarden, Elie",1085.00,1079.00,814.00,1099.00,1019.00,1222.00,1292.00,1055.00,942.00,1027.00,1253.00,1165.00,1325.00,1273.00,1121.00,1004.00,1007.00,841.00,1042.00,985.00,1010.00,896.00,1135.00,,806.00,1620.00
"vanBeuzekom, Minka Y.",5489.00,5172.00,3946.00,5613.00,4952.00,6312.00,6308.00,5295.00,5190.00,5177.00,6360.00,6220.00,6488.00,6415.00,6277.00,5320.00,5224.00,4644.00,5582.00,5375.00,6124.00,5822.00,6446.00,6367.00,,6667.00
writeIns,88.00,96.00,74.00,95.00,93.00,102.00,96.00,96.00,88.00,84.00,103.00,96.00,105.00,106.00,104.00,90.00,91.00,88.00,94.00,85.00,100.00,101.00,112.00,108.00,90.00,
