,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"McGovern, Marc C.",9.23,4.59,16.99,4.52,0.00,3.28,0.00,4.51,3.70,12.41,0.65,14.78,5.18,6.74,,3.36,6.41,0.00,10.26,6.57,5.11,6.94,7.00,3.70
"Mello, Gary W.",0.09,0.70,0.50,0.36,0.00,0.35,1.96,0.38,0.00,0.28,6.54,0.18,1.59,0.93,1.08,,0.00,0.00,0.06,0.78,0.00,19.44,0.89,0.00
"Moree, Gregg J.",0.43,0.30,0.08,0.24,0.00,0.23,0.00,0.54,0.00,0.35,0.00,0.24,1.20,0.62,0.17,9.24,,6.25,0.58,0.35,0.00,1.39,0.49,0.00
"Sanzone, John",0.17,0.10,0.08,0.36,0.00,0.23,0.00,0.00,0.00,0.14,0.00,0.24,0.40,0.62,0.17,2.52,6.41,,0.29,0.56,0.36,4.17,0.20,0.00
"Simmons, E. Denise",28.04,3.09,13.62,4.16,6.94,5.86,5.88,3.60,0.00,7.88,1.96,11.36,3.98,5.91,20.97,1.68,15.38,9.38,,12.01,9.12,4.17,7.69,0.00
"Toomey, Jr., Timothy J.",8.80,0.80,4.54,2.97,0.00,2.34,0.00,0.38,3.70,2.93,10.46,22.24,23.51,1.87,4.16,3.36,3.85,12.50,13.18,,1.46,0.00,1.68,0.00
"Waite, Romaine",1.90,1.00,0.76,2.14,2.78,7.15,3.92,2.22,0.00,0.21,3.27,0.24,0.80,5.91,0.67,0.84,0.00,3.12,2.57,0.21,,8.33,2.17,0.00
"Williamson, James M.",0.95,0.20,0.25,0.36,0.00,0.59,3.92,0.77,0.00,0.49,0.00,0.24,0.40,0.62,0.08,1.68,2.56,0.00,0.70,0.56,1.09,,0.79,0.00
"vanBeuzekom, Minka Y.",3.11,5.09,5.80,6.18,6.94,7.97,5.88,5.81,3.70,6.90,8.50,1.53,1.59,4.67,5.91,3.36,2.56,0.00,5.36,2.61,7.30,2.78,,3.70
writeIns,0.00,0.00,0.00,0.12,0.00,0.12,0.00,0.08,0.00,0.14,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.17,0.14,0.00,0.00,0.10,
exhaust,10.35,1.80,3.62,2.02,5.56,3.17,15.69,3.52,7.41,6.83,6.54,7.27,11.16,10.16,3.83,8.40,17.95,9.38,8.10,18.79,5.84,6.94,6.31,55.56
