,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"McGovern, Marc C.",123.00,67.00,235.00,17.00,59.00,4.00,21.00,138.00,51.00,,5.00,15.00,1.00,1.00,3.00,31.00,64.00,67.00,41.00,50.00,15.00,29.00,0.00,2.00,40.00,0.00
"Mello, Gary W.",4.00,11.00,11.00,1.00,7.00,0.00,14.00,4.00,6.00,3.00,,2.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,12.00,1.00,1.00,8.00,0.00,5.00,0.00
"Mirza, Mushtaque A.",8.00,6.00,21.00,4.00,7.00,1.00,5.00,3.00,100.00,6.00,6.00,,0.00,3.00,3.00,4.00,7.00,7.00,3.00,6.00,1.00,9.00,0.00,5.00,12.00,0.00
"Moree, Gregg J.",2.00,1.00,1.00,0.00,4.00,1.00,6.00,10.00,3.00,2.00,1.00,1.00,,2.00,0.00,3.00,0.00,2.00,0.00,7.00,1.00,0.00,0.00,0.00,1.00,0.00
"Peden, Ronald",6.00,1.00,7.00,0.00,3.00,0.00,4.00,2.00,8.00,2.00,4.00,2.00,3.00,,1.00,3.00,1.00,2.00,2.00,2.00,1.00,3.00,0.00,2.00,4.00,0.00
"Phillips, Lesley Rebecca",2.00,4.00,16.00,5.00,10.00,0.00,4.00,6.00,9.00,5.00,0.00,1.00,1.00,6.00,,5.00,5.00,9.00,8.00,7.00,5.00,9.00,1.00,2.00,5.00,1.00
"Reeves, Kenneth E.",143.00,7.00,170.00,8.00,34.00,6.00,12.00,89.00,30.00,61.00,1.00,10.00,1.00,5.00,6.00,,21.00,276.00,16.00,90.00,10.00,10.00,4.00,4.00,16.00,0.00
"Seidel, Sam",31.00,63.00,147.00,20.00,81.00,2.00,11.00,75.00,38.00,87.00,6.00,1.00,3.00,0.00,10.00,31.00,,40.00,33.00,25.00,3.00,20.00,1.00,7.00,67.00,0.00
"Simmons, E. Denise",166.00,28.00,172.00,17.00,58.00,5.00,7.00,99.00,44.00,94.00,0.00,9.00,1.00,4.00,10.00,331.00,40.00,,29.00,118.00,18.00,25.00,5.00,5.00,62.00,0.00
"Smith, Jefferson R.",32.00,26.00,113.00,18.00,27.00,4.00,4.00,24.00,33.00,66.00,0.00,1.00,1.00,1.00,1.00,11.00,20.00,34.00,,35.00,7.00,23.00,2.00,1.00,21.00,0.00
"Toomey, Jr., Timothy J.",83.00,18.00,95.00,6.00,33.00,4.00,27.00,376.00,13.00,37.00,0.00,8.00,7.00,0.00,1.00,58.00,20.00,110.00,30.00,,18.00,11.00,1.00,0.00,25.00,0.00
"Vasquez, Luis",71.00,13.00,24.00,2.00,8.00,1.00,6.00,13.00,43.00,20.00,2.00,3.00,0.00,1.00,2.00,9.00,9.00,24.00,17.00,39.00,,11.00,4.00,4.00,9.00,0.00
"Von Hoffmann, Kristen Lane",18.00,43.00,70.00,20.00,40.00,2.00,11.00,16.00,29.00,35.00,0.00,5.00,0.00,0.00,8.00,12.00,21.00,34.00,23.00,16.00,8.00,,2.00,4.00,48.00,0.00
"Williamson, James M.",6.00,8.00,6.00,3.00,2.00,0.00,3.00,0.00,1.00,2.00,0.00,4.00,0.00,2.00,0.00,1.00,2.00,5.00,4.00,4.00,3.00,5.00,,9.00,4.00,0.00
"Yarden, Elie",11.00,8.00,4.00,4.00,7.00,1.00,1.00,0.00,5.00,4.00,0.00,0.00,0.00,2.00,5.00,1.00,1.00,8.00,4.00,7.00,8.00,12.00,6.00,,2.00,0.00
"vanBeuzekom, Minka Y.",39.00,164.00,220.00,42.00,128.00,6.00,9.00,30.00,50.00,84.00,8.00,11.00,0.00,1.00,4.00,28.00,78.00,75.00,38.00,54.00,16.00,43.00,3.00,10.00,,1.00
writeIns,1.00,0.00,1.00,0.00,1.00,0.00,3.00,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,
exhaust,142.00,29.00,131.00,16.00,53.00,10.00,138.00,140.00,66.00,64.00,9.00,87.00,11.00,9.00,8.00,102.00,35.00,97.00,33.00,283.00,28.00,19.00,7.00,2.00,37.00,11.00
