,"Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.",writeIns
"McGovern, Marc C.",4.96,5.87,6.89,4.17,7.18,8.64,8.85,12.09,1.85,3.66,12.94,,8.70,10.17,4.36,2.80,4.08,4.86,14.60,7.57,2.22,7.45,7.14,7.47,4.84,4.66,9.52
"Moree, Gregg J.",0.00,0.26,0.09,0.00,0.12,0.51,0.36,0.46,11.11,0.00,0.53,0.32,,0.00,0.00,1.87,0.00,0.16,0.46,0.14,0.00,0.00,0.41,0.37,0.00,0.06,0.00
"Musgrave, Adriane B.",2.07,2.30,0.85,1.85,1.77,3.56,0.96,2.20,1.85,0.81,6.17,5.16,4.35,,2.18,2.80,0.00,1.78,1.87,2.43,4.44,4.11,1.02,0.25,2.02,1.66,0.00
"Okamoto, Nadya T.",3.31,2.55,0.85,8.80,1.71,3.81,2.39,0.82,0.00,2.44,2.63,1.91,6.52,4.48,,10.28,4.08,4.54,1.64,5.95,8.89,1.41,0.92,0.62,4.44,3.32,4.76
"Pillai, Hari I.",0.83,2.04,0.09,0.00,0.59,0.51,0.72,0.55,0.00,0.41,0.60,0.43,2.17,1.21,2.55,,0.68,0.99,0.42,0.54,0.00,0.26,0.61,0.43,1.61,0.96,0.00
"Santos, Jeff",0.83,2.30,0.85,0.46,0.77,0.76,1.08,0.92,1.85,3.25,0.83,0.59,2.17,1.03,2.18,6.54,,1.18,0.54,1.08,2.22,0.39,0.61,2.78,2.02,1.15,14.29
"Siddiqui, Sumbul",5.79,4.34,12.50,9.72,12.42,9.53,5.50,8.06,7.41,13.82,17.68,8.14,0.00,5.86,12.73,12.15,10.88,,6.96,30.81,11.11,6.80,4.69,4.01,14.52,21.47,0.00
"Simmons, E. Denise",13.64,5.36,4.51,6.48,7.12,12.96,29.19,10.53,7.41,1.63,7.52,27.55,8.70,10.34,10.73,10.28,10.88,9.20,,6.62,4.44,9.24,7.04,16.37,7.26,4.35,9.52
"Sivongxay, Vatsady",0.00,0.77,2.38,5.56,2.47,2.80,2.27,2.29,3.70,4.07,3.16,1.97,0.00,2.59,8.36,3.74,3.40,15.36,3.52,,4.44,2.05,1.43,1.05,4.44,11.88,0.00
"Sutton, Bryan",0.83,0.77,0.17,0.00,0.18,0.38,0.48,0.09,0.00,0.81,0.08,0.05,0.00,0.00,0.36,1.87,0.00,0.32,0.54,0.81,,0.51,0.41,0.56,0.81,0.58,0.00
"Tierney, Sean",0.41,4.59,1.62,3.24,2.53,6.10,4.31,4.85,1.85,1.63,6.02,5.32,4.35,17.93,4.18,2.80,3.40,3.04,3.52,1.89,2.22,,14.90,6.30,3.23,1.60,4.76
"Toner, Paul F.",0.83,7.40,1.45,1.85,1.41,1.91,2.51,6.04,3.70,5.28,3.61,3.24,10.87,3.10,1.27,0.93,2.72,2.29,2.56,1.08,6.67,13.48,,12.29,0.40,0.58,0.00
"Toomey, Jr., Timothy J.",1.65,4.85,1.45,0.00,0.88,2.16,6.58,4.40,3.70,14.23,2.33,4.47,4.35,0.86,1.64,4.67,5.44,1.34,11.85,1.89,22.22,7.96,23.78,,1.61,1.34,0.00
"Volmar, Gwen Thomas",1.65,0.51,0.51,5.09,0.94,0.76,0.60,0.27,1.85,2.03,1.58,0.85,0.00,1.55,2.00,2.80,3.40,1.18,0.80,0.95,4.44,1.41,0.82,0.56,,1.21,4.76
"Zondervan, Quinton Y.",1.24,0.51,12.24,7.41,12.36,3.94,1.79,6.14,7.41,14.63,3.39,3.62,0.00,3.45,6.36,8.41,12.93,13.55,2.26,11.76,0.00,3.47,0.71,0.74,9.27,,0.00
writeIns,0.41,0.00,0.00,0.00,0.12,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.04,0.00,0.00,0.00,0.10,0.00,0.00,0.00,
exhaust,26.45,20.41,3.40,4.63,3.59,12.07,8.37,5.95,7.41,5.69,2.33,3.78,15.22,2.07,6.91,5.61,14.29,5.61,8.49,2.03,8.89,6.03,7.86,18.22,8.47,1.73,33.33
