D:\Cambridge\Election2003\Council\Final\Council Tabular Report (Delimited)
NOV. 4, 2003 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA

20,080 valid ballots.
Electing 9 candidates.
Winning threshold is 2009 votes.
There were 878 invalid ballots.
(20,958 total ballots processed.)

|Round 1|Round 2|Round 3|Round 4|Round 5|Round 6|Round 7|Round 8|Round 9|Round 10|Round 11|Round 12|Round 13|
LaTremouille, Robert J.|126.0000000000|131.0000000000|133.0000000000|136.0000000000|142.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 5th round
Maher, David P.|1190.0000000000|1430.0000000000|1433.0000000000|1435.0000000000|1444.0000000000|1448.0000000000|1453.0000000000|1499.0000000000|1505.0000000000|1573.0000000000|1698.0000000000|1839.0000000000|2009.0000000000|ELECTED -- 13th round
Murphy, Brian|1362.0000000000|1396.0000000000|1398.0000000000|1401.0000000000|1403.0000000000|1410.0000000000|1423.0000000000|1446.0000000000|1479.0000000000|1595.0000000000|1742.0000000000|2009.0000000000|2009.0000000000|ELECTED -- 12th round
Pitkin, John|1010.0000000000|1032.0000000000|1034.0000000000|1037.0000000000|1044.0000000000|1057.0000000000|1066.0000000000|1091.0000000000|1130.0000000000|1223.0000000000|1493.0000000000|0|0|DEFEATED -- 11th round
Reeves, Kenneth E.|1525.0000000000|1602.0000000000|1607.0000000000|1611.0000000000|1618.0000000000|1630.0000000000|1637.0000000000|1667.0000000000|1695.0000000000|1735.0000000000|1807.0000000000|1898.0000000000|2009.0000000000|ELECTED -- 13th round
Simmons, Denise|1181.0000000000|1232.0000000000|1233.0000000000|1239.0000000000|1250.0000000000|1259.0000000000|1274.0000000000|1299.0000000000|1408.0000000000|1479.0000000000|1569.0000000000|1777.0000000000|2009.0000000000|ELECTED -- 13th round
Smith, Aimee Louise|480.0000000000|484.0000000000|489.0000000000|490.0000000000|491.0000000000|499.0000000000|517.0000000000|527.0000000000|0|0|0|0|0|DEFEATED -- 8th round
Sullivan, Michael A.|1656.0000000000|1893.0000000000|1895.0000000000|1900.0000000000|1905.0000000000|1910.0000000000|1918.0000000000|1953.0000000000|1976.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|2009.0000000000|ELECTED -- 10th round
Taymorberry, Laurie|188.0000000000|193.0000000000|193.0000000000|194.0000000000|197.0000000000|208.0000000000|0|0|0|0|0|0|0|DEFEATED -- 6th round
Toomey, Timothy J., Jr.|1613.0000000000|1753.0000000000|1753.0000000000|1755.0000000000|1757.0000000000|1764.0000000000|1776.0000000000|1790.0000000000|1805.0000000000|1859.0000000000|1921.0000000000|2009.0000000000|2009.0000000000|ELECTED -- 12th round
Write-In 1|36.0000000000|36.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 2|2.0000000000|2.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 3|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 4|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 5|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 6|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 7|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 8|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 9|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round



Wednesday, November 5, 2003 5:02 PM
ChoicePlus Pro -- Version 2.1
(c) 1993-2001 Voting Solutions -- All Rights Reserved
