,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"McGovern, Marc C.",10.62,5.97,10.40,4.33,5.67,4.94,5.74,10.45,5.55,,5.10,7.61,3.85,2.50,4.05,3.73,9.61,6.17,7.51,4.26,6.38,7.25,0.00,2.00,4.78,0.00
"Mello, Gary W.",0.35,0.98,0.49,0.25,0.67,0.00,3.83,0.30,0.65,0.27,,1.02,0.00,0.00,1.35,0.36,0.15,0.00,0.00,1.02,0.43,0.25,11.94,0.00,0.60,0.00
"Mirza, Mushtaque A.",0.69,0.53,0.93,1.02,0.67,1.23,1.37,0.23,10.88,0.53,6.12,,0.00,7.50,4.05,0.48,1.05,0.64,0.55,0.51,0.43,2.25,0.00,5.00,1.44,0.00
"Moree, Gregg J.",0.17,0.09,0.04,0.00,0.38,1.23,1.64,0.68,0.33,0.18,1.02,0.51,,5.00,0.00,0.36,0.00,0.18,0.00,0.60,0.43,0.00,0.00,0.00,0.12,0.00
"Peden, Ronald",0.52,0.09,0.31,0.00,0.29,0.00,1.09,0.15,0.87,0.18,4.08,1.02,7.69,,1.35,0.36,0.15,0.18,0.37,0.17,0.43,0.75,0.00,2.00,0.48,0.00
"Phillips, Lesley Rebecca",0.17,0.36,0.71,1.27,0.96,0.00,1.09,0.45,0.98,0.45,0.00,0.51,3.85,15.00,,0.60,0.75,0.83,1.47,0.60,2.13,2.25,1.49,2.00,0.60,20.00
"Reeves, Kenneth E.",12.35,0.62,7.52,1.78,3.27,7.41,3.28,6.66,3.26,5.43,1.02,5.08,3.85,12.50,8.11,,3.15,25.41,2.93,7.67,4.26,2.50,5.97,4.00,1.91,0.00
"Seidel, Sam",2.68,5.61,6.50,5.09,7.79,2.47,3.01,5.68,4.13,7.75,6.12,0.51,11.54,0.00,13.51,3.73,,3.68,6.04,2.13,1.28,5.00,1.49,7.00,8.01,0.00
"Simmons, E. Denise",14.25,2.50,7.61,4.33,5.58,6.17,1.91,7.49,4.79,8.37,0.00,4.57,3.85,10.00,13.51,39.71,6.01,,5.31,10.06,7.66,6.25,7.46,5.00,7.42,0.00
"Smith, Jefferson R.",2.76,2.32,5.00,4.58,2.60,4.94,1.09,1.82,3.59,5.88,0.00,0.51,3.85,2.50,1.35,1.32,3.00,3.13,,2.98,2.98,5.50,2.99,1.00,2.51,0.00
"Toomey, Jr., Timothy J.",7.17,1.60,4.20,1.53,3.17,4.94,7.38,28.46,1.41,3.29,0.00,4.06,26.92,0.00,1.35,6.98,3.00,10.13,5.49,,7.66,2.75,1.49,0.00,2.99,0.00
"Vasquez, Luis",6.13,1.16,1.06,0.51,0.77,1.23,1.64,0.98,4.68,1.78,2.04,1.52,0.00,2.50,2.70,1.08,1.35,2.21,3.11,3.32,,2.75,5.97,4.00,1.08,0.00
"Von Hoffmann, Kristen Lane",1.55,3.83,3.10,5.09,3.85,2.47,3.01,1.21,3.16,3.12,0.00,2.54,0.00,0.00,10.81,1.44,3.15,3.13,4.21,1.36,3.40,,2.99,4.00,5.74,0.00
"Williamson, James M.",0.52,0.71,0.27,0.76,0.19,0.00,0.82,0.00,0.11,0.18,0.00,2.03,0.00,5.00,0.00,0.12,0.30,0.46,0.73,0.26,1.28,1.25,,9.00,0.36,0.00
"Yarden, Elie",0.95,0.71,0.18,1.02,0.67,1.23,0.27,0.00,0.54,0.36,0.00,0.00,0.00,5.00,6.76,0.12,0.15,0.74,0.73,0.60,3.40,3.00,8.96,,0.24,0.00
"vanBeuzekom, Minka Y.",3.37,14.62,9.73,10.69,12.31,7.41,2.46,2.27,5.44,7.48,8.16,5.58,0.00,2.50,5.41,3.37,11.71,6.91,6.96,4.60,6.81,10.75,4.48,10.00,,20.00
writeIns,0.09,0.00,0.04,0.00,0.10,0.00,0.82,0.00,0.44,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.15,0.09,0.00,0.00,0.00,0.00,0.00,1.00,0.12,
