,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
"McGovern, Marc C.",9.46,5.82,9.83,4.16,5.40,4.40,4.17,9.43,5.18,,4.67,5.30,2.70,2.04,3.66,3.32,9.13,5.66,7.08,3.43,5.70,6.90,0.00,1.96,4.59,0.00
"Mello, Gary W.",0.31,0.96,0.46,0.24,0.64,0.00,2.78,0.27,0.61,0.25,,0.71,0.00,0.00,1.22,0.32,0.14,0.00,0.00,0.82,0.38,0.24,10.81,0.00,0.57,0.00
"Mirza, Mushtaque A.",0.62,0.52,0.88,0.98,0.64,1.10,0.99,0.21,10.15,0.51,5.61,,0.00,6.12,3.66,0.43,1.00,0.59,0.52,0.41,0.38,2.14,0.00,4.90,1.38,0.00
"Moree, Gregg J.",0.15,0.09,0.04,0.00,0.37,1.10,1.19,0.62,0.30,0.17,0.93,0.35,,4.08,0.00,0.32,0.00,0.17,0.00,0.48,0.38,0.00,0.00,0.00,0.11,0.00
"Peden, Ronald",0.46,0.09,0.29,0.00,0.27,0.00,0.79,0.14,0.81,0.17,3.74,0.71,5.41,,1.22,0.32,0.14,0.17,0.35,0.14,0.38,0.71,0.00,1.96,0.46,0.00
"Phillips, Lesley Rebecca",0.15,0.35,0.67,1.22,0.91,0.00,0.79,0.41,0.91,0.42,0.00,0.35,2.70,12.24,,0.54,0.71,0.76,1.38,0.48,1.90,2.14,1.35,1.96,0.57,6.67
"Reeves, Kenneth E.",11.00,0.61,7.11,1.71,3.11,6.59,2.38,6.02,3.05,5.14,0.93,3.53,2.70,10.20,7.32,,3.00,23.33,2.76,6.18,3.80,2.38,5.41,3.92,1.83,0.00
"Seidel, Sam",2.38,5.47,6.15,4.89,7.41,2.20,2.18,5.13,3.86,7.33,5.61,0.35,8.11,0.00,12.20,3.32,,3.38,5.70,1.72,1.14,4.76,1.35,6.86,7.68,0.00
"Simmons, E. Denise",12.69,2.43,7.19,4.16,5.31,5.49,1.39,6.77,4.47,7.92,0.00,3.18,2.70,8.16,12.20,35.37,5.71,,5.01,8.10,6.84,5.95,6.76,4.90,7.11,0.00
"Smith, Jefferson R.",2.46,2.26,4.73,4.40,2.47,4.40,0.79,1.64,3.35,5.56,0.00,0.35,2.70,2.04,1.22,1.18,2.85,2.87,,2.40,2.66,5.24,2.70,0.98,2.41,0.00
"Toomey, Jr., Timothy J.",6.38,1.56,3.97,1.47,3.02,4.40,5.36,25.70,1.32,3.12,0.00,2.83,18.92,0.00,1.22,6.22,2.85,9.30,5.18,,6.84,2.62,1.35,0.00,2.87,0.00
"Vasquez, Luis",5.46,1.13,1.00,0.49,0.73,1.10,1.19,0.89,4.37,1.68,1.87,1.06,0.00,2.04,2.44,0.96,1.28,2.03,2.94,2.68,,2.62,5.41,3.92,1.03,0.00
"Von Hoffmann, Kristen Lane",1.38,3.74,2.93,4.89,3.66,2.20,2.18,1.09,2.94,2.95,0.00,1.77,0.00,0.00,9.76,1.29,3.00,2.87,3.97,1.10,3.04,,2.70,3.92,5.50,0.00
"Williamson, James M.",0.46,0.70,0.25,0.73,0.18,0.00,0.60,0.00,0.10,0.17,0.00,1.41,0.00,4.08,0.00,0.11,0.29,0.42,0.69,0.21,1.14,1.19,,8.82,0.34,0.00
"Yarden, Elie",0.85,0.70,0.17,0.98,0.64,1.10,0.20,0.00,0.51,0.34,0.00,0.00,0.00,4.08,6.10,0.11,0.14,0.68,0.69,0.48,3.04,2.86,8.11,,0.23,0.00
"vanBeuzekom, Minka Y.",3.00,14.25,9.20,10.27,11.71,6.59,1.79,2.05,5.08,7.08,7.48,3.89,0.00,2.04,4.88,3.00,11.13,6.34,6.56,3.71,6.08,10.24,4.05,9.80,,6.67
writeIns,0.08,0.00,0.04,0.00,0.09,0.00,0.60,0.00,0.41,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.00,0.00,0.00,0.00,0.00,0.98,0.11,
exhaust,10.92,2.52,5.48,3.91,4.85,10.99,27.38,9.71,6.70,5.39,8.41,30.39,29.73,18.37,9.76,10.93,4.99,8.20,5.70,19.44,10.65,4.76,9.46,1.96,4.13,66.67
