D:\Cambridge\Election2007\School\Wednesday\School Ballot Allocation Report


000101-00-0003: Fantini, Alfred B.
000101-00-0163: Grassi, Joseph G.
000101-00-0164: Tauber, Nancy
000101-00-0166: Grassi, Joseph G.
000101-00-0169: Fantini, Alfred B.
000101-00-0170: Grassi, Joseph G.
000101-00-0175: Grassi, Joseph G.
000101-00-0177: Grassi, Joseph G.
000101-00-0178: Grassi, Joseph G.
000101-00-0179: Grassi, Joseph G.
000101-00-0182: Grassi, Joseph G.
000101-00-0184: Grassi, Joseph G.
000101-00-0185: Fantini, Alfred B.
000101-00-0188: Grassi, Joseph G.
000101-00-0190: Fantini, Alfred B.
000101-00-0192: Grassi, Joseph G.
000101-00-0193: Grassi, Joseph G.
000101-00-0195: Grassi, Joseph G.
000101-00-0197: Grassi, Joseph G.
000101-00-0200: Fantini, Alfred B.
000101-00-0201: Fantini, Alfred B.
000101-00-0203: Grassi, Joseph G.
000101-00-0206: Grassi, Joseph G.
000101-00-0208: Grassi, Joseph G.
000101-00-0209: Fantini, Alfred B.
000101-00-0212: Grassi, Joseph G.
000101-00-0213: Fantini, Alfred B.
000101-00-0215: Grassi, Joseph G.
000101-00-0217: Grassi, Joseph G.
000101-00-0218: McGovern, Marc C.
000101-00-0221: Schuster, Luc
000101-00-0223: Grassi, Joseph G.
000101-00-0225: Grassi, Joseph G.
000101-00-0226: Grassi, Joseph G.
000101-00-0230: Fantini, Alfred B.
000101-00-0231: Grassi, Joseph G.
000101-00-0232: Grassi, Joseph G.
000101-00-0233: Grassi, Joseph G.
000101-00-0235: Grassi, Joseph G.
000101-00-0237: Grassi, Joseph G.
000101-00-0240: Fantini, Alfred B.
000101-00-0241: Grassi, Joseph G.
000101-00-0243: Fantini, Alfred B.
000101-00-0246: Grassi, Joseph G.
000101-00-0247: Fantini, Alfred B.
000101-00-0249: Fantini, Alfred B.
000101-00-0251: Grassi, Joseph G.
000101-00-0254: Grassi, Joseph G.
000101-00-0255: Grassi, Joseph G.
000101-00-0257: Fantini, Alfred B.
000101-00-0259: Fantini, Alfred B.
000101-00-0261: Grassi, Joseph G.
000101-00-0264: Fantini, Alfred B.
000101-00-0267: Grassi, Joseph G.
000101-00-0268: Grassi, Joseph G.
000101-00-0270: Grassi, Joseph G.
000101-00-0272: Tauber, Nancy
000101-00-0274: Nolan, Patricia M.
000101-00-0276: Grassi, Joseph G.
000101-00-0278: McGovern, Marc C.
000101-00-0279: Nolan, Patricia M.
000101-00-0282: Grassi, Joseph G.
000101-00-0283: Nolan, Patricia M.
000101-00-0286: Fantini, Alfred B.
000101-00-0287: Grassi, Joseph G.
000101-00-0289: Tauber, Nancy
000101-00-0290: Tauber, Nancy
000101-00-0292: Grassi, Joseph G.
000101-00-0293: Grassi, Joseph G.
000101-00-0297: INVALID
000101-00-0298: INVALID
000101-00-0299: INVALID
000101-00-0301: INVALID
000101-00-0302: INVALID
000101-00-0303: INVALID
000101-00-0305: Grassi, Joseph G.
000101-00-0307: Tauber, Nancy
000101-00-0309: Grassi, Joseph G.
000101-00-0311: Fantini, Alfred B.
000101-00-0313: Tauber, Nancy
000101-00-0316: Grassi, Joseph G.
000101-00-0319: Grassi, Joseph G.
000101-00-0321: Fantini, Alfred B.
000101-00-0323: Fantini, Alfred B.
000101-00-0324: Fantini, Alfred B.
000101-00-0327: Grassi, Joseph G.
000101-00-0328: Schuster, Luc
000101-00-0332: McGovern, Marc C.
000101-00-0333: Nolan, Patricia M.
000101-00-0335: McGovern, Marc C.
000101-00-0337: Fantini, Alfred B.
000101-00-0338: Fantini, Alfred B.
000101-00-0340: Grassi, Joseph G.
000101-00-0343: Nolan, Patricia M.
000101-00-0345: Fantini, Alfred B.
000101-00-0346: Fantini, Alfred B.
000101-00-0348: Grassi, Joseph G.
000101-00-0350: EXHAUSTED PILE
000101-00-0352: Grassi, Joseph G.
000101-00-0355: Grassi, Joseph G.
000101-00-0357: Grassi, Joseph G.
000101-00-0359: Grassi, Joseph G.
000101-00-0360: Grassi, Joseph G.
000101-00-0363: Grassi, Joseph G.
000101-00-0364: Grassi, Joseph G.
000101-00-0367: Fantini, Alfred B.
000101-00-0368: Grassi, Joseph G.
000101-00-0371: Grassi, Joseph G.
000101-00-0372: Fantini, Alfred B.
000101-00-0375: EXHAUSTED PILE
000101-00-0377: Grassi, Joseph G.
000101-00-0379: Nolan, Patricia M.
000101-00-0380: McGovern, Marc C.
000101-00-0383: Grassi, Joseph G.
000101-00-0385: Grassi, Joseph G.
000101-00-0387: McGovern, Marc C.
000101-00-0389: Grassi, Joseph G.
000101-00-0390: Nolan, Patricia M.
000101-00-0393: Fantini, Alfred B.
000101-00-0395: Fantini, Alfred B.
000101-00-0396: Grassi, Joseph G.
000101-00-0397: Grassi, Joseph G.
000101-00-0398: Grassi, Joseph G.
000101-00-0401: Grassi, Joseph G.
000101-00-0402: Tauber, Nancy
000101-00-0405: Nolan, Patricia M.
000101-00-0407: Grassi, Joseph G.
000101-00-0409: Grassi, Joseph G.
000101-00-0410: Grassi, Joseph G.
000101-00-0413: Nolan, Patricia M.
000101-00-0415: Grassi, Joseph G.
000101-00-0417: Fantini, Alfred B.
000101-00-0419: Grassi, Joseph G.
000101-00-0421: Grassi, Joseph G.
000101-00-0422: Nolan, Patricia M.
000101-00-0424: McGovern, Marc C.
000101-00-0425: INVALID
000101-00-0427: Grassi, Joseph G.
000101-00-0430: Fantini, Alfred B.
000101-00-0431: Grassi, Joseph G.
000101-00-0434: Grassi, Joseph G.
000101-00-0435: Grassi, Joseph G.
000101-00-0438: Fantini, Alfred B.
000101-00-0439: Fantini, Alfred B.
000101-00-0442: Fantini, Alfred B.
000101-00-0444: Grassi, Joseph G.
000101-00-0445: Grassi, Joseph G.
000101-00-0447: Grassi, Joseph G.
000101-00-0448: Grassi, Joseph G.
000101-00-0451: Grassi, Joseph G.
000101-00-0452: Grassi, Joseph G.
000101-00-0454: Grassi, Joseph G.
000101-00-0456: Fantini, Alfred B.
000101-00-0458: Fantini, Alfred B.
000101-00-0461: Grassi, Joseph G.
000101-00-0463: Grassi, Joseph G.
000101-00-0465: Grassi, Joseph G.
000101-00-0467: Grassi, Joseph G.
000101-00-0469: Grassi, Joseph G.
000101-00-0470: EXHAUSTED PILE
000101-00-0473: Grassi, Joseph G.
000101-00-0474: Grassi, Joseph G.
000101-00-0476: Grassi, Joseph G.
000101-00-0479: Grassi, Joseph G.
000101-00-0481: Grassi, Joseph G.
000101-00-0482: Nolan, Patricia M.
000101-00-0484: Grassi, Joseph G.
000101-00-0486: Grassi, Joseph G.
000101-00-0488: Nolan, Patricia M.
000101-00-0490: Grassi, Joseph G.
000101-00-0492: Grassi, Joseph G.
000101-00-0495: Grassi, Joseph G.
000101-00-0496: Grassi, Joseph G.
000101-00-0498: Fantini, Alfred B.
000101-00-0501: Fantini, Alfred B.
000101-00-0503: McGovern, Marc C.
000101-00-0504: Fantini, Alfred B.
000101-00-0507: Fantini, Alfred B.
000101-00-0509: Fantini, Alfred B.
000101-00-0511: Grassi, Joseph G.
000101-00-0513: Grassi, Joseph G.
000101-00-0515: Grassi, Joseph G.
000101-00-0516: Fantini, Alfred B.
000101-00-0518: Schuster, Luc
000101-00-0521: Grassi, Joseph G.
000101-00-0522: Grassi, Joseph G.
000101-00-0525: Grassi, Joseph G.
000101-00-0527: Grassi, Joseph G.
000101-00-0528: Schuster, Luc
000101-00-0531: Nolan, Patricia M.
000101-00-0532: Nolan, Patricia M.
000101-00-0535: Grassi, Joseph G.
000101-00-0537: Grassi, Joseph G.
000101-00-0538: Fantini, Alfred B.
000101-00-0540: Nolan, Patricia M.
000101-00-0542: Nolan, Patricia M.
000101-00-0544: McGovern, Marc C.
000101-00-0546: McGovern, Marc C.
000101-00-0549: Tauber, Nancy
000101-00-0550: EXHAUSTED PILE
000101-00-0553: Grassi, Joseph G.
000101-00-0555: Fantini, Alfred B.
000101-00-0556: Fantini, Alfred B.
000101-00-0559: Fantini, Alfred B.
000101-00-0562: Grassi, Joseph G.
000101-00-0564: Grassi, Joseph G.
000101-00-0566: Grassi, Joseph G.
000101-00-0568: Grassi, Joseph G.
000101-00-0569: Grassi, Joseph G.
000101-00-0572: Grassi, Joseph G.
000101-00-0574: Fantini, Alfred B.
000101-00-0576: Grassi, Joseph G.
000101-00-0577: Schuster, Luc
000101-00-0580: Grassi, Joseph G.
000101-00-0582: Grassi, Joseph G.
000101-00-0585: McGovern, Marc C.
000101-00-0587: Schuster, Luc
000101-00-0588: Tauber, Nancy
000101-00-0589: Tauber, Nancy
000101-00-0590: Schuster, Luc
000101-00-0593: Grassi, Joseph G.
000101-00-0594: Grassi, Joseph G.
000101-00-0597: Fantini, Alfred B.
000101-00-0600: Fantini, Alfred B.
000101-00-0602: EXHAUSTED PILE
000101-00-0604: Grassi, Joseph G.
000101-00-0607: Grassi, Joseph G.
000101-00-0608: Grassi, Joseph G.
000101-00-0610: Grassi, Joseph G.
000101-00-0613: EXHAUSTED PILE
000101-00-0615: Fantini, Alfred B.
000101-00-0617: Grassi, Joseph G.
000101-00-0618: Grassi, Joseph G.
000101-00-0620: Grassi, Joseph G.
000101-00-0622: Fantini, Alfred B.
000101-00-0625: Fantini, Alfred B.
000101-00-0626: Nolan, Patricia M.
000101-00-0629: Grassi, Joseph G.
000101-00-0631: Grassi, Joseph G.
000101-00-0633: Nolan, Patricia M.
000101-00-0635: Fantini, Alfred B.
000101-00-0636: EXHAUSTED PILE
000101-00-0640: Grassi, Joseph G.
000101-00-0642: Grassi, Joseph G.
000101-00-0644: Grassi, Joseph G.
000101-00-0645: McGovern, Marc C.
000101-00-0648: Grassi, Joseph G.
000101-00-0649: McGovern, Marc C.
000101-00-0651: Grassi, Joseph G.
000101-00-0655: Fantini, Alfred B.
000101-00-0657: Grassi, Joseph G.
000101-00-0658: Tauber, Nancy
000101-00-0661: Grassi, Joseph G.
000101-00-0663: Grassi, Joseph G.
000101-00-0665: Grassi, Joseph G.
000101-00-0666: Tauber, Nancy
000101-00-0669: Grassi, Joseph G.
000101-00-0670: Grassi, Joseph G.
000101-00-0673: INVALID
000101-00-0676: Tauber, Nancy
000101-00-0677: McGovern, Marc C.
000101-00-0679: INVALID
000101-00-0680: INVALID
000101-00-0682: McGovern, Marc C.
000101-00-0684: Schuster, Luc
000101-00-0685: Fantini, Alfred B.
000101-00-0688: Grassi, Joseph G.
000101-00-0689: Grassi, Joseph G.
000101-00-0691: Schuster, Luc
000101-00-0694: Grassi, Joseph G.
000101-00-0696: Fantini, Alfred B.
000101-00-0698: Fantini, Alfred B.
000101-00-0699: Grassi, Joseph G.
000101-00-0701: Grassi, Joseph G.
000101-00-0703: Grassi, Joseph G.
000101-00-0704: Grassi, Joseph G.
000101-00-0706: Grassi, Joseph G.
000101-00-0708: Grassi, Joseph G.
000101-00-0711: Grassi, Joseph G.
000101-00-0712: Fantini, Alfred B.
000101-00-0715: INVALID
000101-00-0716: Nolan, Patricia M.
000101-00-0717: Grassi, Joseph G.
000101-00-0719: Grassi, Joseph G.
000101-00-0722: Grassi, Joseph G.
000101-00-0724: Schuster, Luc
000101-00-0726: Grassi, Joseph G.
000101-00-0728: Fantini, Alfred B.
000101-00-0730: Grassi, Joseph G.
000101-00-0732: Grassi, Joseph G.
000101-00-0733: Tauber, Nancy
000101-00-0734: Nolan, Patricia M.
000101-00-0737: Tauber, Nancy
000101-00-0739: Tauber, Nancy
000101-00-0740: McGovern, Marc C.
000101-00-0742: Tauber, Nancy
000101-00-0745: Grassi, Joseph G.
000101-00-0746: Fantini, Alfred B.
000101-00-0749: Grassi, Joseph G.
000101-00-0750: Nolan, Patricia M.
000101-00-0752: Fantini, Alfred B.
000102-00-0001: Grassi, Joseph G.
000102-00-0002: INVALID
000102-00-0003: INVALID
000102-00-0003: Fantini, Alfred B.
000102-00-0004: INVALID
000102-00-0005: Fantini, Alfred B.
000102-00-0005: Fantini, Alfred B.
000102-00-0006: Tauber, Nancy
000102-00-0006: Tauber, Nancy
000102-00-0007: Tauber, Nancy
000102-00-0008: Tauber, Nancy
000102-00-0008: Fantini, Alfred B.
000102-00-0009: Nolan, Patricia M.
000102-00-0011: Tauber, Nancy
000102-00-0013: Fantini, Alfred B.
000102-00-0014: Grassi, Joseph G.
000102-00-0016: McGovern, Marc C.
000102-00-0018: Grassi, Joseph G.
000102-00-0021: Grassi, Joseph G.
000102-00-0023: Fantini, Alfred B.
000102-00-0024: Nolan, Patricia M.
000102-00-0027: McGovern, Marc C.
000102-00-0028: Fantini, Alfred B.
000102-00-0030: Grassi, Joseph G.
000102-00-0033: Grassi, Joseph G.
000102-00-0035: Grassi, Joseph G.
000102-00-0036: Fantini, Alfred B.
000102-00-0038: Fantini, Alfred B.
000102-00-0040: McGovern, Marc C.
000102-00-0042: Grassi, Joseph G.
000102-00-0043: Nolan, Patricia M.
000102-00-0047: EXHAUSTED PILE
000102-00-0048: Fantini, Alfred B.
000102-00-0051: Grassi, Joseph G.
000102-00-0052: Grassi, Joseph G.
000102-00-0055: Grassi, Joseph G.
000102-00-0057: Grassi, Joseph G.
000102-00-0059: Grassi, Joseph G.
000102-00-0060: Grassi, Joseph G.
000102-00-0063: Fantini, Alfred B.
000102-00-0065: Grassi, Joseph G.
000102-00-0067: INVALID
000102-00-0068: Grassi, Joseph G.
000102-00-0071: Grassi, Joseph G.
000102-00-0073: Grassi, Joseph G.
000102-00-0075: Grassi, Joseph G.
000102-00-0077: Fantini, Alfred B.
000102-00-0079: Fantini, Alfred B.
000102-00-0081: Grassi, Joseph G.
000102-00-0083: Grassi, Joseph G.
000102-00-0086: EXHAUSTED PILE
000102-00-0087: EXHAUSTED PILE
000102-00-0089: Schuster, Luc
000102-00-0090: Schuster, Luc
000102-00-0093: Tauber, Nancy
000102-00-0095: Grassi, Joseph G.
000102-00-0096: Grassi, Joseph G.
000102-00-0098: Grassi, Joseph G.
000102-00-0100: EXHAUSTED PILE
000102-00-0102: Grassi, Joseph G.
000102-00-0104: Fantini, Alfred B.
000102-00-0106: Nolan, Patricia M.
000102-00-0108: Fantini, Alfred B.
000102-00-0112: McGovern, Marc C.
000102-00-0114: Fantini, Alfred B.
000102-00-0116: Grassi, Joseph G.
000102-00-0118: Grassi, Joseph G.
000102-00-0120: Grassi, Joseph G.
000102-00-0122: Grassi, Joseph G.
000102-00-0124: INVALID
000102-00-0126: Fantini, Alfred B.
000102-00-0127: Grassi, Joseph G.
000102-00-0129: Fantini, Alfred B.
000102-00-0132: Schuster, Luc
000102-00-0134: INVALID
000102-00-0136: Fantini, Alfred B.
000102-00-0137: Grassi, Joseph G.
000102-00-0140: Grassi, Joseph G.
000102-00-0142: Grassi, Joseph G.
000102-00-0143: Fantini, Alfred B.
000102-00-0145: Grassi, Joseph G.
000102-00-0147: Fantini, Alfred B.
000102-00-0150: Grassi, Joseph G.
000102-00-0151: Grassi, Joseph G.
000102-00-0155: Grassi, Joseph G.
000102-00-0157: McGovern, Marc C.
000102-00-0158: Grassi, Joseph G.
000102-00-0159: Grassi, Joseph G.
000102-00-0161: Grassi, Joseph G.
000102-00-0163: Fantini, Alfred B.
000102-00-0165: Fantini, Alfred B.
000102-00-0167: McGovern, Marc C.
000102-00-0169: Nolan, Patricia M.
000102-00-0171: INVALID
000102-00-0172: Fantini, Alfred B.
000102-00-0174: Nolan, Patricia M.
000102-00-0177: Nolan, Patricia M.
000102-00-0179: Grassi, Joseph G.
000102-00-0180: Grassi, Joseph G.
000102-00-0182: Nolan, Patricia M.
000102-00-0184: Fantini, Alfred B.
000102-00-0187: Grassi, Joseph G.
000102-00-0188: Grassi, Joseph G.
000102-00-0191: Nolan, Patricia M.
000102-00-0192: Grassi, Joseph G.
000102-00-0194: Grassi, Joseph G.
000102-00-0197: McGovern, Marc C.
000102-00-0198: Grassi, Joseph G.
000102-00-0199: Grassi, Joseph G.
000102-00-0201: Grassi, Joseph G.
000102-00-0204: Grassi, Joseph G.
000102-00-0205: Fantini, Alfred B.
000102-00-0207: Grassi, Joseph G.
000102-00-0210: McGovern, Marc C.
000102-00-0214: Grassi, Joseph G.
000102-00-0216: Grassi, Joseph G.
000102-00-0218: Fantini, Alfred B.
000102-00-0219: Grassi, Joseph G.
000102-00-0221: Grassi, Joseph G.
000102-00-0222: Fantini, Alfred B.
000102-00-0225: Grassi, Joseph G.
000102-00-0227: Grassi, Joseph G.
000102-00-0228: Grassi, Joseph G.
000102-00-0231: Grassi, Joseph G.
000102-00-0233: Grassi, Joseph G.
000102-00-0234: Fantini, Alfred B.
000102-00-0237: Grassi, Joseph G.
000102-00-0239: Fantini, Alfred B.
000102-00-0240: Fantini, Alfred B.
000102-00-0242: Fantini, Alfred B.
000102-00-0245: Grassi, Joseph G.
000102-00-0246: Grassi, Joseph G.
000102-00-0248: Grassi, Joseph G.
000102-00-0250: Grassi, Joseph G.
000102-00-0252: EXHAUSTED PILE
000102-00-0254: Fantini, Alfred B.
000102-00-0256: Fantini, Alfred B.
000102-00-0257: Fantini, Alfred B.
000102-00-0260: Fantini, Alfred B.
000102-00-0262: Grassi, Joseph G.
000102-00-0265: Grassi, Joseph G.
000102-00-0266: Grassi, Joseph G.
000102-00-0269: Schuster, Luc
000102-00-0271: Grassi, Joseph G.
000102-00-0273: Grassi, Joseph G.
000102-00-0275: Tauber, Nancy
000102-00-0276: Grassi, Joseph G.
000102-00-0283: Tauber, Nancy
000102-00-0285: Grassi, Joseph G.
000102-00-0286: Fantini, Alfred B.
000102-00-0287: Schuster, Luc
000102-00-0288: Grassi, Joseph G.
000102-00-0290: Grassi, Joseph G.
000102-00-0291: Grassi, Joseph G.
000102-00-0292: Grassi, Joseph G.
000102-00-0296: Fantini, Alfred B.
000102-00-0297: Grassi, Joseph G.
000102-00-0299: Fantini, Alfred B.
000102-00-0302: Schuster, Luc
000102-00-0307: Grassi, Joseph G.
000102-00-0308: Fantini, Alfred B.
000102-00-0310: Fantini, Alfred B.
000102-00-0312: Grassi, Joseph G.
000102-00-0313: Grassi, Joseph G.
000102-00-0314: Grassi, Joseph G.
000102-00-0317: Fantini, Alfred B.
000102-00-0318: Grassi, Joseph G.
000102-00-0320: Fantini, Alfred B.
000102-00-0322: Fantini, Alfred B.
000102-00-0325: Grassi, Joseph G.
000102-00-0328: Grassi, Joseph G.
000102-00-0329: Fantini, Alfred B.
000102-00-0330: Grassi, Joseph G.
000102-00-0332: Grassi, Joseph G.
000102-00-0334: Grassi, Joseph G.
000102-00-0336: EXHAUSTED PILE
000102-00-0338: Grassi, Joseph G.
000102-00-0340: Grassi, Joseph G.
000102-00-0343: Grassi, Joseph G.
000102-00-0345: Grassi, Joseph G.
000102-00-0346: Grassi, Joseph G.
000102-00-0348: Grassi, Joseph G.
000102-00-0350: Grassi, Joseph G.
000102-00-0353: Grassi, Joseph G.
000102-00-0355: EXHAUSTED PILE
000102-00-0356: Grassi, Joseph G.
000102-00-0358: Grassi, Joseph G.
000102-00-0360: Grassi, Joseph G.
000102-00-0363: Fantini, Alfred B.
000102-00-0365: Grassi, Joseph G.
000102-00-0366: Fantini, Alfred B.
000102-00-0369: Schuster, Luc
000102-00-0370: Schuster, Luc
000102-00-0373: Grassi, Joseph G.
000102-00-0375: McGovern, Marc C.
000102-00-0376: McGovern, Marc C.
000102-00-0378: Grassi, Joseph G.
000102-00-0379: McGovern, Marc C.
000102-00-0381: Nolan, Patricia M.
000102-00-0384: Fantini, Alfred B.
000102-00-0386: Fantini, Alfred B.
000102-00-0389: EXHAUSTED PILE
000102-00-0390: Grassi, Joseph G.
000102-00-0392: Fantini, Alfred B.
000102-00-0395: Grassi, Joseph G.
000102-00-0397: Grassi, Joseph G.
000102-00-0399: Grassi, Joseph G.
000102-00-0401: Fantini, Alfred B.
000102-00-0403: Fantini, Alfred B.
000102-00-0405: Grassi, Joseph G.
000102-00-0407: Fantini, Alfred B.
000102-00-0409: Grassi, Joseph G.
000102-00-0411: Fantini, Alfred B.
000102-00-0413: EXHAUSTED PILE
000102-00-0414: Grassi, Joseph G.
000102-00-0417: Grassi, Joseph G.
000102-00-0420: Fantini, Alfred B.
000102-00-0421: Grassi, Joseph G.
000102-00-0423: Fantini, Alfred B.
000102-00-0425: Fantini, Alfred B.
000102-00-0427: Grassi, Joseph G.
000102-00-0428: Grassi, Joseph G.
000102-00-0430: Grassi, Joseph G.
000102-00-0432: Fantini, Alfred B.
000102-00-0435: Fantini, Alfred B.
000102-00-0436: Fantini, Alfred B.
000102-00-0439: Fantini, Alfred B.
000102-00-0442: Grassi, Joseph G.
000102-00-0443: Grassi, Joseph G.
000102-00-0445: Grassi, Joseph G.
000102-00-0447: Fantini, Alfred B.
000102-00-0448: Grassi, Joseph G.
000102-00-0451: Grassi, Joseph G.
000102-00-0453: Grassi, Joseph G.
000102-00-0455: McGovern, Marc C.
000102-00-0457: Fantini, Alfred B.
000102-00-0459: Grassi, Joseph G.
000102-00-0461: Grassi, Joseph G.
000102-00-0463: Grassi, Joseph G.
000102-00-0465: Fantini, Alfred B.
000102-00-0467: Grassi, Joseph G.
000102-00-0470: Grassi, Joseph G.
000102-00-0472: Grassi, Joseph G.
000102-00-0473: Nolan, Patricia M.
000102-00-0475: Fantini, Alfred B.
000102-00-0477: Grassi, Joseph G.
000102-00-0478: Fantini, Alfred B.
000102-00-0480: Grassi, Joseph G.
000102-00-0483: Grassi, Joseph G.
000102-00-0484: Nolan, Patricia M.
000102-00-0486: Grassi, Joseph G.
000102-00-0488: Grassi, Joseph G.
000102-00-0490: Grassi, Joseph G.
000102-00-0492: Fantini, Alfred B.
000102-00-0493: Grassi, Joseph G.
000102-00-0497: Grassi, Joseph G.
000102-00-0498: Schuster, Luc
000102-00-0500: Grassi, Joseph G.
000102-00-0502: Grassi, Joseph G.
000102-00-0505: Grassi, Joseph G.
000102-00-0507: Grassi, Joseph G.
000102-00-0509: Fantini, Alfred B.
000102-00-0512: Grassi, Joseph G.
000102-00-0514: Grassi, Joseph G.
000102-00-0515: Grassi, Joseph G.
000102-00-0518: Grassi, Joseph G.
000102-00-0520: Grassi, Joseph G.
000102-00-0521: Grassi, Joseph G.
000102-00-0523: Schuster, Luc
000102-00-0526: Grassi, Joseph G.
000102-00-0529: Grassi, Joseph G.
000102-00-0531: Fantini, Alfred B.
000102-00-0532: Fantini, Alfred B.
000102-00-0535: Nolan, Patricia M.
000102-00-0537: McGovern, Marc C.
000102-00-0538: Grassi, Joseph G.
000102-00-0541: Grassi, Joseph G.
000102-00-0542: Grassi, Joseph G.
000102-00-0544: Grassi, Joseph G.
000102-00-0546: Grassi, Joseph G.
000102-00-0548: Fantini, Alfred B.
000102-00-0549: Grassi, Joseph G.
000102-00-0552: Grassi, Joseph G.
000102-00-0553: Grassi, Joseph G.
000102-00-0555: Grassi, Joseph G.
000102-00-0557: Fantini, Alfred B.
000102-00-0559: Grassi, Joseph G.
000102-00-0561: Grassi, Joseph G.
000102-00-0562: Grassi, Joseph G.
000102-00-0565: Grassi, Joseph G.
000102-00-0566: Grassi, Joseph G.
000102-00-0569: McGovern, Marc C.
000102-00-0571: Grassi, Joseph G.
000102-00-0574: Grassi, Joseph G.
000102-00-0576: Grassi, Joseph G.
000102-00-0578: Tauber, Nancy
000102-00-0579: Grassi, Joseph G.
000102-00-0582: Schuster, Luc
000102-00-0584: Grassi, Joseph G.
000102-00-0586: Grassi, Joseph G.
000102-00-0587: Grassi, Joseph G.
000102-00-0590: Schuster, Luc
000102-00-0591: Grassi, Joseph G.
000102-00-0593: Fantini, Alfred B.
000102-00-0594: Fantini, Alfred B.
000102-00-0597: Fantini, Alfred B.
000102-00-0600: McGovern, Marc C.
000102-00-0601: Fantini, Alfred B.
000102-00-0605: Grassi, Joseph G.
000102-00-0607: Grassi, Joseph G.
000102-00-0609: Fantini, Alfred B.
000102-00-0610: Grassi, Joseph G.
000102-00-0613: Grassi, Joseph G.
000102-00-0614: Fantini, Alfred B.
000102-00-0616: Fantini, Alfred B.
000102-00-0618: Fantini, Alfred B.
000102-00-0619: Grassi, Joseph G.
000102-00-0622: Grassi, Joseph G.
000102-00-0623: Grassi, Joseph G.
000102-00-0625: EXHAUSTED PILE
000102-00-0626: Fantini, Alfred B.
000102-00-0628: Schuster, Luc
000102-00-0632: Grassi, Joseph G.
000102-00-0634: Fantini, Alfred B.
000102-00-0639: Grassi, Joseph G.
000102-00-0640: INVALID
000102-00-0642: Fantini, Alfred B.
000102-00-0643: INVALID
