candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer,r18_percent,r18_count,r18_transfer,r19_percent,r19_count,r19_transfer,r20_percent,r20_count,r20_transfer,r21_percent,r21_count,r21_transfer,r22_percent,r22_count,r22_transfer
DENNIS HERRERA,11.272,21914.0,0.0,11.272,21914.0,0,11.272,21914.0,0,11.272,21914.0,1,11.272,21915.0,1,11.273,21916.0,0,11.273,21916.0,0.0,11.273,21916.0,21,11.287,21937.0,21,11.303,21958.0,19,11.317,21977.0,59,11.353,22036.0,113,11.419,22149.0,79,11.47,22228.0,378,11.705,22606.0,925,12.324,23531.0,726,12.894,24257.0,2824,14.564,27081.0,2592,16.433,29673.0,2603,18.53,32276.0,4866,22.593,37142.0,-37142,0.0,0.0,
TONY HALL,3.564,6930.0,0.0,3.565,6930.0,0,3.565,6930.0,0,3.565,6930.0,0,3.565,6930.0,0,3.565,6930.0,0,3.565,6930.0,5,3.567,6935.0,23,3.58,6958.0,43,3.604,7001.0,24,3.617,7025.0,51,3.646,7076.0,32,3.664,7108.0,26,3.681,7134.0,263,3.83,7397.0,499,4.135,7896.0,-7896,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
DAVID CHIU,9.218,17921.0,0.0,9.218,17921.0,0,9.218,17921.0,0,9.218,17921.0,0,9.218,17921.0,0,9.218,17921.0,0,9.218,17921.0,0,9.218,17921.0,8,9.224,17929.0,17,9.238,17946.0,48,9.266,17994.0,18,9.28,18012.0,159,9.368,18171.0,44,9.399,18215.0,280,9.577,18495.0,462,9.928,18957.0,369,10.273,19326.0,1001,10.932,20327.0,2134,12.439,22461.0,2806,14.506,25267.0,-25267,0.0,0.0,0,0.0,0.0,
ED LEE,30.746,59775.0,0.0,30.746,59775.0,0,30.746,59775.0,2,30.747,59777.0,1,30.748,59778.0,1,30.749,59779.0,0,30.75,59779.0,0,30.75,59779.0,17,30.765,59796.0,26,30.793,59822.0,77,30.844,59899.0,44,30.883,59943.0,209,31.011,60152.0,56,31.068,60208.0,402,31.384,60610.0,1137,32.338,61747.0,1748,33.751,63495.0,1647,35.033,65142.0,2400,37.405,67542.0,3591,40.839,71133.0,7482,47.821,78615.0,5842,59.638,84457.0,
WRITE-IN RODNEY HAUGE,0.005,9.0,0.0,0.005,9.0,0,0.005,9.0,0,0.005,9.0,0,0.005,9.0,0,0.005,9.0,0,0.005,9.0,-9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
PHIL TING,0.523,1016.0,0.0,0.523,1016.0,0,0.523,1016.0,0,0.523,1016.0,0,0.523,1016.0,0,0.523,1016.0,0,0.523,1016.0,0,0.523,1016.0,6,0.526,1022.0,8,0.53,1030.0,19,0.54,1049.0,14,0.548,1063.0,-1063,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
JEFF ADACHI,6.447,12534.0,0.0,6.447,12534.0,0,6.447,12534.0,0,6.447,12534.0,0,6.447,12534.0,0,6.447,12534.0,0,6.447,12534.0,0,6.447,12534.0,23,6.461,12557.0,29,6.479,12586.0,38,6.5,12624.0,42,6.526,12666.0,108,6.585,12774.0,112,6.649,12886.0,270,6.812,13156.0,572,7.19,13728.0,1320,7.999,15048.0,622,8.427,15670.0,-15670,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
EMIL LAWRENCE,0.196,382.0,0.0,0.196,382.0,0,0.196,382.0,0,0.196,382.0,0,0.196,382.0,0,0.196,382.0,0,0.196,382.0,3,0.198,385.0,12,0.204,397.0,-397,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
WRITE-IN HAROLD MILLER,0.004,7.0,0.0,0.004,7.0,0,0.004,7.0,0,0.004,7.0,0,0.004,7.0,-7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
WRITE-IN GILBERT LOUIS FRANCIS,0.001,2.0,-2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
CESAR ASCARRUNZ,0.276,537.0,1,0.277,538.0,0,0.277,538.0,0,0.277,538.0,0,0.277,538.0,0,0.277,538.0,0,0.277,538.0,0,0.277,538.0,13,0.283,551.0,27,0.298,578.0,5,0.3,583.0,-583,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
WILMA PANG,0.228,444.0,0,0.228,444.0,0,0.228,444.0,0,0.228,444.0,0,0.228,444.0,0,0.228,444.0,0,0.228,444.0,0,0.228,444.0,12,0.235,456.0,13,0.241,469.0,-469,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
MICHELA ALIOTO-PIER,3.419,6648.0,0,3.419,6648.0,0,3.419,6648.0,0,3.42,6648.0,0,3.42,6648.0,1,3.42,6649.0,0,3.42,6649.0,0,3.42,6649.0,11,3.427,6660.0,34,3.446,6694.0,26,3.46,6720.0,71,3.499,6791.0,46,3.525,6837.0,58,3.558,6895.0,483,3.82,7378.0,-7378,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
exhaust,0.0,0.0,1,0.0,1.0,2,0.0,3.0,1,0.0,4.0,1,0.0,5.0,1,0.0,6.0,8,0.0,14.0,1,0.0,15.0,40,0.0,55.0,93,0.0,148.0,69,0.0,217.0,106,0.0,323.0,122,0.0,445.0,178,0.0,623.0,669,0.0,1292.0,2183,0.0,3475.0,2817,0.0,6292.0,2180,0.0,8472.0,5377,0.0,13849.0,6388,0.0,20237.0,9786,0.0,30023.0,22778,0.0,52801.0,
colsum,100.002,194418.0,0.0,100.00299999999999,194418.0,0.0,100.00199999999998,194418.0,0.0,100.002,194418.0,0.0,100.002,194418.0,0.0,100.00099999999999,194418.0,0,99.99799999999999,194418.0,0.0,99.99799999999999,194418.0,0.0,100.00099999999999,194418.0,0.0,100.001,194418.0,0.0,99.999,194418.0,0.0,100.0,194418.0,0.0,100.001,194418.0,0.0,99.999,194418.0,0.0,99.99899999999998,194418.0,0.0,100.001,194418.0,0.0,99.999,194418.0,0.0,100.0,194418.0,0.0,99.999,194418.0,0.0,100.0,194418.0,0.0,100.0,194418.0,0.0,100.0,194418.0,
