candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer
Michael E. O'connor,2.472,868.0,2.0,2.479,870.0,3.0,2.488,873.0,4.0,2.5,877.0,5.0,2.516,882.0,24.0,2.588,906.0,24.0,2.66,930.0,14.0,2.706,944.0,29.0,2.796,973.0,39.0,2.918,1012.0,24.0,3.0,1036.0,43.0,3.15,1079.0,48.0,3.312,1127.0,-1127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Francis Somesel,1.048,368.0,0.0,1.048,368.0,2.0,1.054,370.0,2.0,1.061,372.0,7.0,1.081,379.0,2.0,1.088,381.0,-381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Julian Davis,1.191,418.0,4.0,1.202,422.0,7.0,1.223,429.0,3.0,1.232,432.0,11.0,1.263,443.0,19.0,1.32,462.0,5.0,1.336,467.0,14.0,1.379,481.0,-481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Susan C. King,2.783,977.0,3.0,2.792,980.0,4.0,2.804,984.0,5.0,2.82,989.0,18.0,2.872,1007.0,27.0,2.953,1034.0,17.0,3.006,1051.0,21.0,3.073,1072.0,44.0,3.207,1116.0,31.0,3.307,1147.0,59.0,3.492,1206.0,31.0,3.611,1237.0,56.0,3.8,1293.0,78.0,4.073,1371.0,-1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tys Sniffen,1.954,686.0,1.0,1.957,687.0,1.0,1.961,688.0,2.0,1.967,690.0,2.0,1.974,692.0,15.0,2.019,707.0,12.0,2.057,719.0,11.0,2.092,730.0,16.0,2.144,746.0,-746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brett Wheeler,2.37,832.0,1.0,2.373,833.0,2.0,2.38,835.0,4.0,2.392,839.0,6.0,2.41,845.0,26.0,2.488,871.0,10.0,2.52,881.0,15.0,2.568,896.0,33.0,2.67,929.0,22.0,2.742,951.0,44.0,2.881,995.0,31.0,2.995,1026.0,-1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bill Barnes,4.74,1664.0,6.0,4.758,1670.0,1.0,4.762,1671.0,3.0,4.772,1674.0,6.0,4.792,1680.0,10.0,4.827,1690.0,19.0,4.888,1709.0,10.0,4.927,1719.0,12.0,4.975,1731.0,20.0,5.049,1751.0,53.0,5.223,1804.0,67.0,5.461,1871.0,74.0,5.716,1945.0,32.0,5.874,1977.0,41.0,6.085,2018.0,124.0,6.576,2142.0,-2142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Emmett Gilman,1.119,393.0,1.0,1.122,394.0,4.0,1.134,398.0,2.0,1.14,400.0,5.0,1.155,405.0,2.0,1.163,407.0,16.0,1.21,423.0,-423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lisa Feldstein,9.277,3257.0,8.0,9.302,3265.0,9.0,9.331,3274.0,4.0,9.345,3278.0,11.0,9.381,3289.0,20.0,9.452,3309.0,14.0,9.505,3323.0,58.0,9.69,3381.0,49.0,9.857,3430.0,54.0,10.046,3484.0,82.0,10.325,3566.0,105.0,10.715,3671.0,94.0,11.064,3765.0,86.0,11.442,3851.0,219.0,12.273,4070.0,243.0,13.242,4313.0,323.0,14.568,4636.0,123.0,15.475,4759.0,305.0,17.445,5064.0,564.0,21.554,5628.0,
Andrew Sullivan,7.055,2477.0,1.0,7.06,2478.0,1.0,7.065,2479.0,12.0,7.102,2491.0,3.0,7.113,2494.0,7.0,7.144,2501.0,49.0,7.294,2550.0,20.0,7.366,2570.0,10.0,7.414,2580.0,59.0,7.61,2639.0,24.0,7.711,2663.0,53.0,7.928,2716.0,55.0,8.143,2771.0,60.0,8.411,2831.0,39.0,8.654,2870.0,112.0,9.155,2982.0,86.0,9.641,3068.0,533.0,11.709,3601.0,-3601.0,0.0,0.0,0.0,0.0,0.0,
Nick Waugh,8.616,3025.0,0.0,8.618,3025.0,2.0,8.627,3027.0,3.0,8.638,3030.0,5.0,8.656,3035.0,18.0,8.72,3053.0,17.0,8.781,3070.0,20.0,8.856,3090.0,28.0,8.961,3118.0,69.0,9.19,3187.0,56.0,9.39,3243.0,53.0,9.621,3296.0,95.0,9.965,3391.0,50.0,10.224,3441.0,99.0,10.675,3540.0,192.0,11.458,3732.0,168.0,12.255,3900.0,163.0,13.212,4063.0,978.0,17.366,5041.0,-5041.0,0.0,0.0,
Phillip House,0.177,62.0,0.0,0.177,62.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,394.0,8.0,0.0,402.0,13.0,0.0,415.0,12.0,0.0,427.0,14.0,0.0,441.0,52.0,0.0,493.0,48.0,0.0,541.0,72.0,0.0,613.0,93.0,0.0,706.0,117.0,0.0,823.0,143.0,0.0,966.0,278.0,0.0,1244.0,230.0,0.0,1474.0,372.0,0.0,1846.0,495.0,0.0,2341.0,591.0,0.0,2932.0,747.0,0.0,3679.0,1071.0,0.0,4750.0,1725.0,0.0,6475.0,2917.0,0.0,9392.0,
colsum,100.0,35503.0,0.0,99.99999999999999,35503.0,0.0,99.99999999999999,35503.0,0.0,99.999,35503.0,0.0,100.001,35503.0,0.0,100.001,35503.0,0.0,100.0,35503.0,0.0,100.00099999999999,35503.0,0.0,100.00000000000001,35503.0,0.0,100.00000000000001,35503.0,0.0,100.00099999999999,35503.0,0.0,99.99899999999998,35503.0,0.0,100.001,35503.0,0.0,100.00000000000001,35503.0,0.0,99.99999999999999,35503.0,0.0,99.999,35503.0,0.0,100.001,35503.0,0.0,100.0,35503.0,0.0,100.00000000000001,35503.0,0.0,100.0,35503.0,
