C:\Cambridge\Election2009\Council\Final\Council Tabular Report (Delimited)
November 13, 2009 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

15,955 valid ballots.
Electing 9 candidates.
Quota is 1596 votes.
There were 118 invalid ballots.
(16,073 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|Count 16|Count 17|
Decker, Marjorie C.|1285.0000000000|1313.0000000000|1326.0000000000|1331.0000000000|1332.0000000000|1333.0000000000|1334.0000000000|1336.0000000000|1339.0000000000|1340.0000000000|1343.0000000000|1366.0000000000|1379.0000000000|1393.0000000000|1442.0000000000|1521.0000000000|1596.0000000000|ELECTED -- 17th count
Write-In 2|18.0000000000|18.0000000000|18.0000000000|18.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 3|13.0000000000|13.0000000000|13.0000000000|13.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 4|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 5|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 6|2.0000000000|2.0000000000|2.0000000000|2.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 7|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 8|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 9|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count



Friday, November 13, 2009 6:47 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
