C:\Cambridge\Election2011\Council\Final\Council Tabular Report (Delimited)
November 18, 2011 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

15,845 valid ballots.
Electing 9 candidates.
Quota is 1585 votes.
There were 126 invalid ballots.
(15,971 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|
Stohlman, Jr., Thomas J.|344.0000000000|360.0000000000|362.0000000000|365.0000000000|366.0000000000|369.0000000000|379.0000000000|391.0000000000|411.0000000000|0|0|0|0|0|DEFEATED -- 9th count
Toomey, Jr., Timothy J.|1705.0000000000|1705.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|ELECTED -- 1st count
vanBeuzekom, Minka Y.|1038.0000000000|1094.0000000000|1096.0000000000|1100.0000000000|1101.0000000000|1106.0000000000|1108.0000000000|1125.0000000000|1155.0000000000|1250.0000000000|1315.0000000000|1412.0000000000|1575.0000000000|1585.0000000000|ELECTED -- 14th count
Ward, Larry W.|835.0000000000|854.0000000000|866.0000000000|877.0000000000|877.0000000000|878.0000000000|883.0000000000|896.0000000000|921.0000000000|947.0000000000|1000.0000000000|1123.0000000000|1229.0000000000|0|DEFEATED -- 13th count
Williamson, James M.|175.0000000000|176.0000000000|179.0000000000|180.0000000000|181.0000000000|183.0000000000|189.0000000000|196.0000000000|0|0|0|0|0|0|DEFEATED -- 8th count
Write-In 1|15.0000000000|15.0000000000|15.0000000000|15.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 2|9.0000000000|9.0000000000|9.0000000000|9.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 3|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 4|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 5|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 6|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 7|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 8|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Write-In 9|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count



Friday, November 18, 2011 6:27 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
