candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer
writeIns,0.207,33.0,0.0,0.207,33.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Seidel, Sam",5.641,900.0,62.0,6.029,962.0,0.0,6.035,962.0,2.0,6.05,964.0,7.0,6.097,971.0,6.0,6.142,977.0,3.0,6.166,980.0,5.0,6.209,985.0,19.0,6.339,1004.0,30.0,6.544,1034.0,94.0,7.17,1128.0,34.0,7.437,1162.0,145.0,8.446,1307.0,19.0,8.569,1326.0,201.0,10.014,1527.0,53.0,10.361,1580.0,145.0,11.953,1725.0,
"Stohlman, Jr., Thomas J.",2.369,378.0,19.0,2.488,397.0,1.0,2.497,398.0,3.0,2.517,401.0,5.0,2.549,406.0,6.0,2.59,412.0,2.0,2.605,414.0,5.0,2.641,419.0,14.0,2.734,433.0,14.0,2.829,447.0,-447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Maher, David P.",8.06,1286.0,61.0,8.442,1347.0,1.0,8.457,1348.0,1.0,8.466,1349.0,1.0,8.477,1350.0,7.0,8.53,1357.0,1.0,8.545,1358.0,7.0,8.604,1365.0,12.0,8.694,1377.0,13.0,8.797,1390.0,38.0,9.076,1428.0,39.0,9.389,1467.0,42.0,9.752,1509.0,8.0,9.804,1517.0,151.0,10.938,1668.0,-72.0,10.466,1596.0,0.0,11.059,1596.0,
"Moree, Gregg J.",0.295,47.0,3.0,0.313,50.0,0.0,0.314,50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",7.835,1250.0,57.0,8.192,1307.0,3.0,8.218,1310.0,5.0,8.253,1315.0,6.0,8.295,1321.0,7.0,8.348,1328.0,9.0,8.413,1337.0,6.0,8.466,1343.0,13.0,8.561,1356.0,42.0,8.848,1398.0,50.0,9.204,1448.0,58.0,9.638,1506.0,141.0,10.644,1647.0,-51.0,10.314,1596.0,0.0,10.466,1596.0,0.0,10.466,1596.0,0.0,11.059,1596.0,
"Adkins, Lawrence J.",0.646,103.0,4.0,0.671,107.0,1.0,0.678,108.0,0.0,0.678,108.0,13.0,0.76,121.0,5.0,0.792,126.0,-126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Williamson, James M.",0.564,90.0,2.0,0.577,92.0,0.0,0.577,92.0,0.0,0.577,92.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Jr., Timothy J.",10.956,1748.0,-152.0,10.003,1596.0,0.0,10.013,1596.0,0.0,10.016,1596.0,0.0,10.021,1596.0,0.0,10.033,1596.0,0.0,10.042,1596.0,0.0,10.061,1596.0,0.0,10.076,1596.0,0.0,10.101,1596.0,0.0,10.144,1596.0,0.0,10.214,1596.0,0.0,10.314,1596.0,0.0,10.314,1596.0,0.0,10.466,1596.0,0.0,10.466,1596.0,0.0,11.059,1596.0,
"Glick, Silvia P.",1.605,256.0,13.0,1.686,269.0,1.0,1.694,270.0,2.0,1.707,272.0,6.0,1.746,278.0,11.0,1.817,289.0,6.0,1.856,295.0,25.0,2.017,320.0,10.0,2.083,330.0,-330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Ward, Larry W.",4.613,736.0,60.0,4.989,796.0,0.0,4.994,796.0,2.0,5.008,798.0,10.0,5.073,808.0,4.0,5.104,812.0,12.0,5.185,824.0,5.0,5.226,829.0,7.0,5.278,836.0,20.0,5.417,856.0,31.0,5.638,887.0,25.0,5.837,912.0,94.0,6.501,1006.0,6.0,6.54,1012.0,-1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,29.0,0.0,0.0,29.0,15.0,0.0,44.0,6.0,0.0,50.0,8.0,0.0,58.0,18.0,0.0,76.0,15.0,0.0,91.0,29.0,0.0,120.0,25.0,0.0,145.0,38.0,0.0,183.0,68.0,0.0,251.0,108.0,0.0,359.0,151.0,0.0,510.0,0.0,0.0,510.0,225.0,0.0,735.0,0.0,0.0,735.0,817.0,0.0,1552.0,
colsum,100.002,15984.0,0.0,99.99800000000002,15984.0,0.0,100.00200000000001,15984.0,0.0,99.99899999999998,15984.0,0.0,100.00000000000003,15984.0,0.0,99.999,15984.0,0.0,100.001,15984.0,0.0,100.001,15984.0,0.0,99.99900000000001,15984.0,0.0,100.00199999999998,15984.0,0.0,100.0,15984.0,0.0,100.0,15984.0,0.0,99.999,15984.0,0.0,99.99999999999999,15984.0,0.0,99.99899999999998,15984.0,0.0,99.99799999999998,15984.0,0.0,100.002,15984.0,
